Transaction Number,Service Heads (T),Account (T),Transaction Date,Amount,Supplier Name
42330272,Adult Care Sector,Other Establishments,16/08/2024,"£24,567.80",TRENT NURSING LTD
42330275,Adult Care Sector,Other Establishments,16/08/2024,"£1,242.40",Hales Group Ltd
42330276,Adult Care Sector,Other Establishments,16/08/2024,"£12,604.56",Amara Care
42330279,Adult Care Sector,Other Establishments,16/08/2024,"£33,638.02",Amphion Home Care Services Ltd
42330280,Adult Care Sector,Other Establishments,16/08/2024,"£5,958.48",A.T.C.S. Ltd
42330285,Adult Care Sector,Other Establishments,16/08/2024,"£39,087.39",Creative Support
42330287,Adult Care Sector,Other Establishments,16/08/2024,"£3,733.36",Housing & Support Solutions Ltd
42330290,Adult Care Sector,Other Establishments,16/08/2024,"£27,634.88",New Concept Care & Nursing Ltd
42330299,Adult Care Sector,Other Establishments,16/08/2024,"£101,120.10",Sure Group
42330291,Adult Care Sector,Other Establishments,16/08/2024,"£76,326.64",Nl Group Limited
42330273,Adult Care Sector,Other Establishments,16/08/2024,"£4,932.48",Provide React
42330274,Adult Care Sector,Other Establishments,16/08/2024,"£3,230.16",Treehouse Care Fostering Solutions Ltd
42330277,Adult Care Sector,Other Establishments,16/08/2024,"£44,037.67",Amber Care (Lincolnshire) Ltd
42330278,Adult Care Sector,Other Establishments,16/08/2024,"£1,560.00",Amber House
42330284,Adult Care Sector,Other Establishments,16/08/2024,"£37,741.07",Goodwin Healthcare Services Ltd
42330286,Adult Care Sector,Other Establishments,16/08/2024,£616.56,Hica
42330288,Adult Care Sector,Other Establishments,16/08/2024,"£59,133.40",Jme Care Ltd
42330294,Adult Care Sector,Other Establishments,16/08/2024,"£412,362.24",Solsken Ltd
42330295,Adult Care Sector,Other Establishments,16/08/2024,"£3,100.00",Promedica24 (Lancashire) Limited
42330297,Adult Care Sector,Other Establishments,16/08/2024,"£57,580.04",Elite Care Solutions Ltd
42331736,Adult Care Sector,Other Establishments,29/08/2024,"£5,137.04",Yorkare Homes Ltd
42331744,Adult Care Sector,Other Establishments,29/08/2024,"£8,895.40",Affinity Care Consortium Ltd
42331746,Adult Care Sector,Other Establishments,29/08/2024,"£23,280.16",The Bridge Community Care Ltd
42331747,Adult Care Sector,Other Establishments,29/08/2024,"£11,954.96",Home From Home Care Management Ltd
42331748,Adult Care Sector,Other Establishments,29/08/2024,"£8,121.92",Hollybank Trust
42331752,Adult Care Sector,Other Establishments,29/08/2024,"£6,090.76",Autism Plus Limited
42331753,Adult Care Sector,Other Establishments,29/08/2024,"£22,857.56",Newfound Care Ltd
42331754,Adult Care Sector,Other Establishments,29/08/2024,"£13,422.36",Sense
42331758,Adult Care Sector,Other Establishments,29/08/2024,£653.00,Mauricare (Rotherham) Ltd
42331760,Adult Care Sector,Other Establishments,29/08/2024,"£28,779.60",Woodview Care Ltd
42331761,Adult Care Sector,Other Establishments,29/08/2024,"£11,137.37",Bupa Care Services (Commissioning) Ltd
42331762,Adult Care Sector,Other Establishments,29/08/2024,"£20,789.76",Bupa Care Services (Commissioning) Ltd
42331763,Adult Care Sector,Other Establishments,29/08/2024,"£1,179.20",Abbey Drive West
42331767,Adult Care Sector,Other Establishments,29/08/2024,"£2,598.72",Complete Care (Uk) Ltd
42331768,Adult Care Sector,Other Establishments,29/08/2024,"£70,682.74",Amber House
42331770,Adult Care Sector,Other Establishments,29/08/2024,"£5,104.63",Balmoral House
42331771,Adult Care Sector,Other Establishments,29/08/2024,"£2,598.72",Ascot House
42331772,Adult Care Sector,Other Establishments,29/08/2024,"£18,551.24",Beechcroft House
42331773,Adult Care Sector,Other Establishments,29/08/2024,"£10,108.55",Blyton Court
42331774,Adult Care Sector,Other Establishments,29/08/2024,"£39,274.66",Hc One
42331779,Adult Care Sector,Other Establishments,29/08/2024,"£3,785.16",Cas Learning Disabilities Ltd
42331781,Adult Care Sector,Other Establishments,29/08/2024,"£66,927.55",P&N Care Home Ltd
42331783,Adult Care Sector,Other Establishments,29/08/2024,"£7,796.16",Clarence House Care Centre
42331784,Adult Care Sector,Other Establishments,29/08/2024,"£9,490.04",Community Solutions
42331785,Adult Care Sector,Other Establishments,29/08/2024,"£15,971.20",Community Solutions
42331786,Adult Care Sector,Other Establishments,29/08/2024,"£9,391.16",Cygnets Broughton House
42331796,Adult Care Sector,Other Establishments,29/08/2024,"£10,632.96",Havenmere
42331798,Adult Care Sector,Other Establishments,29/08/2024,"£12,000.76",Heathcotes (Heathcotes Care Ltd)
42331800,Adult Care Sector,Other Establishments,29/08/2024,"£32,231.44",Hica
42331801,Adult Care Sector,Other Establishments,29/08/2024,"£3,758.24",Hica
42331804,Adult Care Sector,Other Establishments,29/08/2024,"£8,257.12",St Philips Care Caledonia Limited
42331806,Adult Care Sector,Other Establishments,29/08/2024,"£5,197.44",Holly House Residential Home
42331807,Adult Care Sector,Other Establishments,29/08/2024,"£12,715.17",Holme Farm Residential Rest Home
42331812,Adult Care Sector,Other Establishments,29/08/2024,"£1,670.61",Belgravia Jem Ltd
42331817,Adult Care Sector,Other Establishments,29/08/2024,"£13,534.52",The Legard
42331818,Adult Care Sector,Other Establishments,29/08/2024,"£1,571.20",The Legard
42331819,Adult Care Sector,Other Establishments,29/08/2024,"£12,676.48",The Legard
42331822,Adult Care Sector,Other Establishments,29/08/2024,"£2,097.20",Lincolnshire House Association Ltd
42331824,Adult Care Sector,Other Establishments,29/08/2024,"£9,559.58",Carisbrooke Manor
42331828,Adult Care Sector,Other Establishments,29/08/2024,"£4,640.57",Isle Care (Axholme) Ltd
42331829,Adult Care Sector,Other Establishments,29/08/2024,"£5,282.08",Norwood House Care Home
42331831,Adult Care Sector,Other Establishments,29/08/2024,"£82,332.18",Options Applegate
42331832,Adult Care Sector,Other Establishments,29/08/2024,"£17,383.44",Options Applegate
42331833,Adult Care Sector,Other Establishments,29/08/2024,"£2,598.72",Jasmine Health Care
42331836,Adult Care Sector,Other Establishments,29/08/2024,£943.52,Prime Life Ltd
42331837,Adult Care Sector,Other Establishments,29/08/2024,"£27,892.28",Prime Life Ltd
42331838,Adult Care Sector,Other Establishments,29/08/2024,"£20,074.08",Prime Life Ltd
42331840,Adult Care Sector,Other Establishments,29/08/2024,"£12,266.52",Prime Life Ltd
42331841,Adult Care Sector,Other Establishments,29/08/2024,"£8,173.04",Prime Life Ltd
42331842,Adult Care Sector,Other Establishments,29/08/2024,"£67,885.30",Prime Life Ltd
42331843,Adult Care Sector,Other Establishments,29/08/2024,£506.03,Prime Life Ltd
42331844,Adult Care Sector,Other Establishments,29/08/2024,"£10,315.40",Prime Life Ltd
42331846,Adult Care Sector,Other Establishments,29/08/2024,"£11,674.81",Prime Life Ltd
42331848,Adult Care Sector,Other Establishments,29/08/2024,"£23,107.80",Randolph House
42331849,Adult Care Sector,Other Establishments,29/08/2024,"£7,619.96",Redbourne Centre (Caretech)
42331850,Adult Care Sector,Other Establishments,29/08/2024,"£2,598.72",Abbey Village Ltd
42331856,Adult Care Sector,Other Establishments,29/08/2024,"£3,248.40",St Mary'S (Visionary Care Ltd)
42331857,Adult Care Sector,Other Establishments,29/08/2024,"£23,806.71",Sycamore Lodge Care Home
42331859,Adult Care Sector,Other Establishments,29/08/2024,"£33,129.04",Tigh Bruadair
42331860,Adult Care Sector,Other Establishments,29/08/2024,"£16,805.96",Tigh Bruadair
42331861,Adult Care Sector,Other Establishments,29/08/2024,"£15,396.92",Tigh Bruadair
42331862,Adult Care Sector,Other Establishments,29/08/2024,"£2,598.72",The Holmes Care (Group) Ltd
42331863,Adult Care Sector,Other Establishments,29/08/2024,"£20,186.83",Holly Tree Lodge Nursing Home
42331866,Adult Care Sector,Other Establishments,29/08/2024,"£7,796.16",The Valleys Care Home
42331867,Adult Care Sector,Other Establishments,29/08/2024,"£2,598.72",Warley House
42331871,Adult Care Sector,Other Establishments,29/08/2024,"£11,192.60",Willowbeck Healthcare Ltd
42331872,Adult Care Sector,Other Establishments,29/08/2024,"£5,197.44",Wrawby Hall Care Home
30236285,Adult Intermediate Care,Agency Supply Staff,02/08/2024,"£3,612.65",Ongo Recruitment Ltd
30235302,Adult Intermediate Care,Clothing & Uniforms & Laundry,01/08/2024,"£2,011.19",Elis
30240317,Adult Intermediate Care,Licences - General,01/05/2024,"£4,736.25",Access Uk Ltd
30237888,Adult Intermediate Care,Licences - General,14/08/2024,"£4,736.25",Access Uk Ltd
30230237,Adult Intermediate Care,Other Supplies & Services,13/06/2024,"£1,062.50",Initial Washroom Solutions
30238473,Adult Intermediate Care,Other Supplies & Services,13/08/2024,"£47,011.00",Redacted
30236283,Adult Safeguarding,Other Establishments,01/08/2024,"£3,201.05",Homegroup Ltd
30238513,Adult Safeguarding,Other Establishments,09/08/2024,"£47,246.22",Blue Door Support Service Cic
30236312,Adult Safeguarding,Other Hired & Contracting Services,29/07/2024,£950.80,Mr Muzammil Hayat
30236318,Adult Safeguarding,Other Hired & Contracting Services,30/07/2024,£735.00,MH 24 LTD
30236708,Adult Safeguarding,Other Hired & Contracting Services,02/08/2024,"£1,278.20",Mr Muzammil Hayat
30236732,Adult Safeguarding,Other Hired & Contracting Services,02/08/2024,£751.00,Dr Madhu Gulati
30236731,Adult Safeguarding,Other Hired & Contracting Services,04/08/2024,£946.80,DR GED GARRY
30236722,Adult Safeguarding,Other Hired & Contracting Services,05/08/2024,£724.40,Paragon Medical Ltd
30236717,Adult Safeguarding,Other Hired & Contracting Services,06/08/2024,£735.00,MH 24 LTD
30237238,Adult Safeguarding,Other Hired & Contracting Services,08/08/2024,"£2,750.00",A J Sandiford Ltd
30237970,Adult Safeguarding,Other Hired & Contracting Services,12/08/2024,"£3,732.00",Dr Chandrashekar Rao
30237980,Adult Safeguarding,Other Hired & Contracting Services,12/08/2024,£741.20,Paragon Medical Ltd
30237976,Adult Safeguarding,Other Hired & Contracting Services,13/08/2024,£738.40,Paragon Medical Ltd
30237977,Adult Safeguarding,Other Hired & Contracting Services,15/08/2024,£921.00,Mr Muzammil Hayat
