Transaction number,Service Heads (T),Account (T),Transaction Date,Amount,Supplier Name
30201797,Adult Care Sector,"Grants, Contributions & Donations Paid Out",26/03/2024,"£12,000.00",Hc One
30200498,Adult Care Sector,Other Establishments,08/02/2024,"£6,960.00",Amphion Home Care Services Ltd
42298835,Adult Care Sector,Other Establishments,29/03/2024,"£41,203.80",TRENT NURSING LTD
42298837,Adult Care Sector,Other Establishments,29/03/2024,"£2,213.12",Hales Group Ltd
42298838,Adult Care Sector,Other Establishments,29/03/2024,"£12,604.56",Amara Care
42298841,Adult Care Sector,Other Establishments,29/03/2024,"£21,008.80",Amphion Home Care Services Ltd
42298842,Adult Care Sector,Other Establishments,29/03/2024,"£13,967.88",A.T.C.S. Ltd
42298844,Adult Care Sector,Other Establishments,29/03/2024,"£36,643.85",Creative Support
42298846,Adult Care Sector,Other Establishments,29/03/2024,"£3,343.04",Housing & Support Solutions Ltd
42298851,Adult Care Sector,Other Establishments,29/03/2024,"£93,416.00",Sure Group
42298856,Adult Care Sector,Other Establishments,29/03/2024,"£5,256.16",Chestnut Homecare Ltd
42298860,Adult Care Sector,Other Establishments,29/03/2024,"£25,696.00",New Concept Care & Nursing Ltd
42298861,Adult Care Sector,Other Establishments,29/03/2024,"£106,769.00",Nl Group Limited
42298836,Adult Care Sector,Other Establishments,29/03/2024,"£3,990.56",Provide React
42298839,Adult Care Sector,Other Establishments,29/03/2024,"£46,755.23",Amber Care (Lincolnshire) Ltd
42298840,Adult Care Sector,Other Establishments,29/03/2024,"£1,560.00",Amber House
42298843,Adult Care Sector,Other Establishments,29/03/2024,"£44,121.20",Goodwin Healthcare Services Ltd
42298847,Adult Care Sector,Other Establishments,29/03/2024,"£54,784.20",Jme Care Ltd
42298853,Adult Care Sector,Other Establishments,29/03/2024,"£22,611.12",Treehouse Care Fostering Solutions Ltd
42298858,Adult Care Sector,Other Establishments,29/03/2024,"£57,679.52",Elite Care Solutions Ltd
42298862,Adult Care Sector,Other Establishments,29/03/2024,"£25,571.52",Solsken Ltd
42300241,Adult Care Sector,Other Establishments,09/04/2024,"£8,864.00",Affinity Care Consortium Ltd
42300244,Adult Care Sector,Other Establishments,09/04/2024,"£16,540.98",The Bridge Community Care Ltd
42300245,Adult Care Sector,Other Establishments,09/04/2024,"£11,954.96",Home From Home Care Management Ltd
42300246,Adult Care Sector,Other Establishments,09/04/2024,"£7,284.96",Hollybank Trust
42300248,Adult Care Sector,Other Establishments,09/04/2024,£878.84,Bramling Cross Care Ltd
42300249,Adult Care Sector,Other Establishments,09/04/2024,"£3,969.60",Four Seasons 2000 Limited
42300250,Adult Care Sector,Other Establishments,09/04/2024,£878.84,Monarch Healthcare (Ferndene) Ltd
42300252,Adult Care Sector,Other Establishments,09/04/2024,"£6,090.76",Autism Plus Limited
42300253,Adult Care Sector,Other Establishments,09/04/2024,"£22,857.56",Newfound Care Ltd
42300254,Adult Care Sector,Other Establishments,09/04/2024,"£11,092.00",Sense
42300256,Adult Care Sector,Other Establishments,09/04/2024,"£1,179.20",Abbey Drive West
42300260,Adult Care Sector,Other Establishments,09/04/2024,"£7,001.64",Complete Care (Uk) Ltd
42300263,Adult Care Sector,Other Establishments,09/04/2024,"£70,988.16",Amber House
42300265,Adult Care Sector,Other Establishments,09/04/2024,"£4,840.64",Balmoral House
42300268,Adult Care Sector,Other Establishments,09/04/2024,"£16,139.44",Beechcroft House
42300269,Adult Care Sector,Other Establishments,09/04/2024,"£7,691.04",Blyton Court
42300270,Adult Care Sector,Other Establishments,09/04/2024,"£28,220.15",Hc One
42300271,Adult Care Sector,Other Establishments,09/04/2024,"£1,060.44",Hc One
42300276,Adult Care Sector,Other Establishments,09/04/2024,"£3,645.60",Cas Learning Disabilities Ltd
