Transaction number,Service Heads (T),Account (T),Transaction Date,Amount,Supplier Name
42304880,Adult Care Sector,Other Establishments,26/04/2024,"£28,939.00",TRENT NURSING LTD
42304883,Adult Care Sector,Other Establishments,26/04/2024,"£2,998.80",Hales Group Ltd
42304884,Adult Care Sector,Other Establishments,26/04/2024,"£12,604.56",Amara Care
42304887,Adult Care Sector,Other Establishments,26/04/2024,"£20,976.60",Amphion Home Care Services Ltd
42304888,Adult Care Sector,Other Establishments,26/04/2024,"£15,076.76",A.T.C.S. Ltd
42304893,Adult Care Sector,Other Establishments,26/04/2024,"£5,697.72",Chestnut Homecare Ltd
42304895,Adult Care Sector,Other Establishments,26/04/2024,"£39,333.72",Creative Support
42304900,Adult Care Sector,Other Establishments,26/04/2024,"£3,343.04",Housing & Support Solutions Ltd
42304903,Adult Care Sector,Other Establishments,26/04/2024,"£27,599.84",New Concept Care & Nursing Ltd
42304908,Adult Care Sector,Other Establishments,26/04/2024,"£97,751.96",Sure Group
42304904,Adult Care Sector,Other Establishments,26/04/2024,"£108,797.00",Nl Group Limited
42304881,Adult Care Sector,Other Establishments,26/04/2024,"£4,315.92",Provide React
42304882,Adult Care Sector,Other Establishments,26/04/2024,"£22,611.12",Treehouse Care Fostering Solutions Ltd
42304885,Adult Care Sector,Other Establishments,26/04/2024,"£41,978.50",Amber Care (Lincolnshire) Ltd
42304886,Adult Care Sector,Other Establishments,26/04/2024,"£1,560.00",Amber House
42304890,Adult Care Sector,Other Establishments,26/04/2024,"£6,955.52",Barclays Specialist Care Ltd
42304894,Adult Care Sector,Other Establishments,26/04/2024,"£46,151.29",Goodwin Healthcare Services Ltd
42304897,Adult Care Sector,Other Establishments,26/04/2024,"£58,217.81",Elite Care Solutions Ltd
42304901,Adult Care Sector,Other Establishments,26/04/2024,"£58,017.88",Jme Care Ltd
42304907,Adult Care Sector,Other Establishments,26/04/2024,"£25,571.52",Solsken Ltd
42306328,Adult Care Sector,Other Establishments,03/05/2024,"£9,752.92",Affinity Care Consortium Ltd
42306330,Adult Care Sector,Other Establishments,03/05/2024,"£23,280.16",The Bridge Community Care Ltd
42306331,Adult Care Sector,Other Establishments,03/05/2024,"£11,954.96",Home From Home Care Management Ltd
42306332,Adult Care Sector,Other Establishments,03/05/2024,"£29,287.79",Hollybank Trust
42306334,Adult Care Sector,Other Establishments,03/05/2024,"£1,543.50",Portland College
42306335,Adult Care Sector,Other Establishments,03/05/2024,£943.52,Bramling Cross Care Ltd
42306336,Adult Care Sector,Other Establishments,03/05/2024,"£3,969.60",Four Seasons 2000 Limited
42306337,Adult Care Sector,Other Establishments,03/05/2024,"£8,673.58",Monarch Healthcare (Ferndene) Ltd
42306339,Adult Care Sector,Other Establishments,03/05/2024,"£6,090.76",Autism Plus Limited
42306340,Adult Care Sector,Other Establishments,03/05/2024,"£22,857.56",Newfound Care Ltd
42306341,Adult Care Sector,Other Establishments,03/05/2024,"£11,413.68",Sense
42306342,Adult Care Sector,Other Establishments,03/05/2024,£847.15,Bondcare (Darlington) Ltd
42306344,Adult Care Sector,Other Establishments,03/05/2024,"£11,810.50",Brainkind
42306345,Adult Care Sector,Other Establishments,03/05/2024,"£12,571.43",Hanumaan Limited
42306346,Adult Care Sector,Other Establishments,03/05/2024,"£1,123.72",BH Care Home Ltd
42306348,Adult Care Sector,Other Establishments,03/05/2024,"£1,179.20",Abbey Drive West
42306352,Adult Care Sector,Other Establishments,03/05/2024,"£2,969.97",Complete Care (Uk) Ltd
42306355,Adult Care Sector,Other Establishments,03/05/2024,"£70,910.41",Amber House
42306357,Adult Care Sector,Other Establishments,03/05/2024,"£8,568.60",Balmoral House
42306359,Adult Care Sector,Other Establishments,03/05/2024,"£1,577.79",Ascot House
42306360,Adult Care Sector,Other Establishments,03/05/2024,"£34,045.69",Beechcroft House
42306361,Adult Care Sector,Other Establishments,03/05/2024,"£8,257.12",Blyton Court
42306362,Adult Care Sector,Other Establishments,03/05/2024,"£28,127.88",Hc One
42306363,Adult Care Sector,Other Establishments,03/05/2024,"£14,838.74",Hc One
42306368,Adult Care Sector,Other Establishments,03/05/2024,"£3,785.16",Cas Learning Disabilities Ltd
42306371,Adult Care Sector,Other Establishments,03/05/2024,"£58,459.10",P&N Care Home Ltd
42306372,Adult Care Sector,Other Establishments,03/05/2024,"£19,851.81",P&N Care Home Ltd
42306373,Adult Care Sector,Other Establishments,03/05/2024,£742.49,Cherry Tree House
42306375,Adult Care Sector,Other Establishments,03/05/2024,"£2,598.72",Clarence House Care Centre
42306376,Adult Care Sector,Other Establishments,03/05/2024,"£1,856.23",Clarence House Care Centre
42306377,Adult Care Sector,Other Establishments,03/05/2024,"£9,490.04",Community Solutions
42306378,Adult Care Sector,Other Establishments,03/05/2024,"£15,985.63",Community Solutions
42306379,Adult Care Sector,Other Establishments,03/05/2024,"£9,391.16",Cygnets Broughton House
42306381,Adult Care Sector,Other Establishments,03/05/2024,£649.68,Eagle House Nursing Home
42306384,Adult Care Sector,Other Establishments,03/05/2024,"£5,197.44",Edmund House
42306386,Adult Care Sector,Other Establishments,03/05/2024,"£2,833.84",The Gables Partnership Care Ltd
42306389,Adult Care Sector,Other Establishments,03/05/2024,"£2,598.72",Greenacres Care Home
42306390,Adult Care Sector,Other Establishments,03/05/2024,"£2,598.72",Gresham Lodge Care Home
42306392,Adult Care Sector,Other Establishments,03/05/2024,"£9,286.36",Havenmere
42306395,Adult Care Sector,Other Establishments,03/05/2024,"£12,000.76",Heathcotes (Heathcotes Care Ltd)
42306397,Adult Care Sector,Other Establishments,03/05/2024,"£32,157.97",Hica
42306398,Adult Care Sector,Other Establishments,03/05/2024,"£2,104.20",Hica
42306400,Adult Care Sector,Other Establishments,03/05/2024,"£8,257.12",St Philips Care Caledonia Limited
42306403,Adult Care Sector,Other Establishments,03/05/2024,"£5,197.44",Holly House Residential Home
42306405,Adult Care Sector,Other Establishments,03/05/2024,"£7,260.96",Holme Farm Residential Rest Home
42306406,Adult Care Sector,Other Establishments,03/05/2024,"£1,856.23",Holme Farm Residential Rest Home
42306419,Adult Care Sector,Other Establishments,03/05/2024,"£11,820.52",The Legard
42306420,Adult Care Sector,Other Establishments,03/05/2024,"£1,372.20",The Legard
42306421,Adult Care Sector,Other Establishments,03/05/2024,"£11,071.08",The Legard
42306424,Adult Care Sector,Other Establishments,03/05/2024,"£2,097.20",Lincolnshire House Association Ltd
42306425,Adult Care Sector,Other Establishments,03/05/2024,"£2,598.72",Lindum Court
42306427,Adult Care Sector,Other Establishments,03/05/2024,"£5,197.44",Carisbrooke Manor
42306432,Adult Care Sector,Other Establishments,03/05/2024,"£1,299.36",Isle Care (Axholme) Ltd
42306434,Adult Care Sector,Other Establishments,03/05/2024,"£11,481.28",Norwood House Care Home
42306437,Adult Care Sector,Other Establishments,03/05/2024,"£50,549.92",Options Applegate
42306438,Adult Care Sector,Other Establishments,03/05/2024,"£17,383.44",Options Applegate
42306439,Adult Care Sector,Other Establishments,03/05/2024,"£5,197.44",Jasmine Health Care
42306441,Adult Care Sector,Other Establishments,03/05/2024,"£2,420.32",Richden Park Residential Home
42306446,Adult Care Sector,Other Establishments,03/05/2024,"£28,835.80",Prime Life Ltd
42306447,Adult Care Sector,Other Establishments,03/05/2024,"£19,895.68",Prime Life Ltd
42306449,Adult Care Sector,Other Establishments,03/05/2024,"£12,266.52",Prime Life Ltd
42306450,Adult Care Sector,Other Establishments,03/05/2024,"£8,173.04",Prime Life Ltd
42306451,Adult Care Sector,Other Establishments,03/05/2024,"£88,943.38",Prime Life Ltd
42306452,Adult Care Sector,Other Establishments,03/05/2024,"£8,468.64",Prime Life Ltd
42306453,Adult Care Sector,Other Establishments,03/05/2024,"£10,325.16",Prime Life Ltd
42306456,Adult Care Sector,Other Establishments,03/05/2024,"£1,689.43",Prime Life Ltd
42306458,Adult Care Sector,Other Establishments,03/05/2024,"£5,238.72",Randolph House
42306459,Adult Care Sector,Other Establishments,03/05/2024,"£7,405.20",Redbourne Centre (Caretech)
42306460,Adult Care Sector,Other Establishments,03/05/2024,"£2,598.72",Abbey Village Ltd
42306463,Adult Care Sector,Other Establishments,03/05/2024,"£6,311.18",Sandhills Court - Bupa
42306469,Adult Care Sector,Other Establishments,03/05/2024,"£7,796.16",St Mary'S (Visionary Care Ltd)
42306471,Adult Care Sector,Other Establishments,03/05/2024,"£32,592.96",Sycamore Lodge Care Home
42306474,Adult Care Sector,Other Establishments,03/05/2024,"£33,129.04",Tigh Bruadair
