Transaction number,Service Heads (T),Account (T),Transaction Date,Amount,Supplier Name
42319048,Adult Care Sector,Other Establishments,28/06/2024,"£9,752.92",Affinity Care Consortium Ltd
42319050,Adult Care Sector,Other Establishments,28/06/2024,"£23,280.16",The Bridge Community Care Ltd
42319051,Adult Care Sector,Other Establishments,28/06/2024,"£11,954.96",Home From Home Care Management Ltd
42319052,Adult Care Sector,Other Establishments,28/06/2024,"£7,751.32",Hollybank Trust
42319054,Adult Care Sector,Other Establishments,28/06/2024,£771.75,Portland College
42319055,Adult Care Sector,Other Establishments,28/06/2024,£943.52,Bramling Cross Care Ltd
42319056,Adult Care Sector,Other Establishments,28/06/2024,£943.52,Monarch Healthcare (Ferndene) Ltd
42319058,Adult Care Sector,Other Establishments,28/06/2024,"£6,090.76",Autism Plus Limited
42319059,Adult Care Sector,Other Establishments,28/06/2024,"£22,857.56",Newfound Care Ltd
42319060,Adult Care Sector,Other Establishments,28/06/2024,"£105,487.48",Sense
42319062,Adult Care Sector,Other Establishments,28/06/2024,"£3,200.00",BH Care Home Ltd
42319064,Adult Care Sector,Other Establishments,28/06/2024,"£1,179.20",Abbey Drive West
42319068,Adult Care Sector,Other Establishments,28/06/2024,"£1,299.36",Complete Care (Uk) Ltd
42319070,Adult Care Sector,Other Establishments,28/06/2024,"£68,873.44",Amber House
42319072,Adult Care Sector,Other Establishments,28/06/2024,"£3,526.83",Balmoral House
42319073,Adult Care Sector,Other Establishments,28/06/2024,"£5,197.44",Ascot House
42319074,Adult Care Sector,Other Establishments,28/06/2024,"£21,400.40",Beechcroft House
42319075,Adult Care Sector,Other Establishments,28/06/2024,"£8,257.12",Blyton Court
42319076,Adult Care Sector,Other Establishments,28/06/2024,"£36,012.60",Hc One
42319081,Adult Care Sector,Other Establishments,28/06/2024,"£3,785.16",Cas Learning Disabilities Ltd
42319083,Adult Care Sector,Other Establishments,28/06/2024,"£72,173.04",P&N Care Home Ltd
42319085,Adult Care Sector,Other Establishments,28/06/2024,"£7,796.16",Clarence House Care Centre
42319086,Adult Care Sector,Other Establishments,28/06/2024,"£9,490.04",Community Solutions
42319087,Adult Care Sector,Other Establishments,28/06/2024,"£15,971.20",Community Solutions
42319088,Adult Care Sector,Other Establishments,28/06/2024,"£9,391.16",Cygnets Broughton House
42319092,Adult Care Sector,Other Establishments,28/06/2024,"£5,383.06",Edmund House
42319093,Adult Care Sector,Other Establishments,28/06/2024,"£2,833.84",The Gables Partnership Care Ltd
42319097,Adult Care Sector,Other Establishments,28/06/2024,"£1,392.17",Gresham Lodge Care Home
42319098,Adult Care Sector,Other Establishments,28/06/2024,"£9,286.36",Havenmere
42319100,Adult Care Sector,Other Establishments,28/06/2024,"£12,000.76",Heathcotes (Heathcotes Care Ltd)
42319101,Adult Care Sector,Other Establishments,28/06/2024,"£32,157.96",Hica
42319102,Adult Care Sector,Other Establishments,28/06/2024,"£2,104.20",Hica
42319106,Adult Care Sector,Other Establishments,28/06/2024,"£8,257.12",St Philips Care Caledonia Limited
42319108,Adult Care Sector,Other Establishments,28/06/2024,"£5,197.44",Holly House Residential Home
42319109,Adult Care Sector,Other Establishments,28/06/2024,"£11,415.81",Holme Farm Residential Rest Home
42319118,Adult Care Sector,Other Establishments,28/06/2024,"£11,820.52",The Legard
42319119,Adult Care Sector,Other Establishments,28/06/2024,"£1,372.20",The Legard
42319120,Adult Care Sector,Other Establishments,28/06/2024,"£11,071.08",The Legard
42319121,Adult Care Sector,Other Establishments,28/06/2024,"£4,406.71",The Legard
42319124,Adult Care Sector,Other Establishments,28/06/2024,"£2,097.20",Lincolnshire House Association Ltd
42319125,Adult Care Sector,Other Establishments,28/06/2024,"£2,598.72",Lindum Court
42319126,Adult Care Sector,Other Establishments,28/06/2024,"£5,197.44",Carisbrooke Manor
42319131,Adult Care Sector,Other Establishments,28/06/2024,"£5,475.87",Isle Care (Axholme) Ltd
42319132,Adult Care Sector,Other Establishments,28/06/2024,"£11,481.28",Norwood House Care Home
42319134,Adult Care Sector,Other Establishments,28/06/2024,"£50,549.92",Options Applegate
42319135,Adult Care Sector,Other Establishments,28/06/2024,"£17,383.44",Options Applegate
42319136,Adult Care Sector,Other Establishments,28/06/2024,"£7,796.16",Jasmine Health Care
42319139,Adult Care Sector,Other Establishments,28/06/2024,£943.52,Prime Life Ltd
42319140,Adult Care Sector,Other Establishments,28/06/2024,"£28,835.80",Prime Life Ltd
42319141,Adult Care Sector,Other Establishments,28/06/2024,"£21,035.17",Prime Life Ltd
42319143,Adult Care Sector,Other Establishments,28/06/2024,"£12,266.52",Prime Life Ltd
42319144,Adult Care Sector,Other Establishments,28/06/2024,"£8,173.04",Prime Life Ltd
42319145,Adult Care Sector,Other Establishments,28/06/2024,"£71,740.34",Prime Life Ltd
