Transaction number,Service Heads (T),Account (T),Transaction Date,Amount,Supplier Name
30242246,Adult Care Sector,"Grants, Contributions & Donations Paid Out",05/09/2024,"£12,000.00",Hica
30243046,Adult Care Sector,"Grants, Contributions & Donations Paid Out",09/09/2024,"£44,799.00",Redacted
30247536,Adult Care Sector,"Grants, Contributions & Donations Paid Out",24/09/2024,"£24,041.00",Redacted
30247649,Adult Care Sector,Other Establishments,05/09/2024,"£4,200.00",Hebb&Griff
42336091,Adult Care Sector,Other Establishments,13/09/2024,"£1,242.40",Hales Group Ltd
42336092,Adult Care Sector,Other Establishments,13/09/2024,"£12,604.56",Amara Care
42336096,Adult Care Sector,Other Establishments,13/09/2024,"£13,395.88",Amphion Home Care Services Ltd
42336097,Adult Care Sector,Other Establishments,13/09/2024,"£6,829.08",A.T.C.S. Ltd
42336101,Adult Care Sector,Other Establishments,13/09/2024,"£38,431.93",Creative Support
42336103,Adult Care Sector,Other Establishments,13/09/2024,"£3,733.36",Housing & Support Solutions Ltd
42336107,Adult Care Sector,Other Establishments,13/09/2024,"£24,567.80",TRENT NURSING LTD
42336114,Adult Care Sector,Other Establishments,13/09/2024,"£23,376.08",New Concept Care & Nursing Ltd
42336116,Adult Care Sector,Other Establishments,13/09/2024,"£98,730.44",Sure Group
42336104,Adult Care Sector,Other Establishments,13/09/2024,"£77,222.64",Nl Group Limited
42336089,Adult Care Sector,Other Establishments,13/09/2024,"£6,228.48",Provide React
42336090,Adult Care Sector,Other Establishments,13/09/2024,"£3,100.00",Promedica24 (Lancashire) Limited
42336093,Adult Care Sector,Other Establishments,13/09/2024,"£43,765.28",Amber Care (Lincolnshire) Ltd
42336094,Adult Care Sector,Other Establishments,13/09/2024,"£1,560.00",Amber House
42336095,Adult Care Sector,Other Establishments,13/09/2024,"£13,440.00",Amber House
42336100,Adult Care Sector,Other Establishments,13/09/2024,"£39,004.96",Goodwin Healthcare Services Ltd
42336102,Adult Care Sector,Other Establishments,13/09/2024,£616.56,Hica
42336106,Adult Care Sector,Other Establishments,13/09/2024,"£28,788.48",Solsken Ltd
42336110,Adult Care Sector,Other Establishments,13/09/2024,"£94,346.09",Elite Care Solutions Ltd
42336112,Adult Care Sector,Other Establishments,13/09/2024,"£59,133.40",Jme Care Ltd
42337793,Adult Care Sector,Other Establishments,20/09/2024,"£5,137.04",Yorkare Homes Ltd
42337801,Adult Care Sector,Other Establishments,20/09/2024,"£8,895.40",Affinity Care Consortium Ltd
42337803,Adult Care Sector,Other Establishments,20/09/2024,"£23,280.16",The Bridge Community Care Ltd
42337804,Adult Care Sector,Other Establishments,20/09/2024,"£11,954.96",Home From Home Care Management Ltd
42337805,Adult Care Sector,Other Establishments,20/09/2024,"£8,121.92",Hollybank Trust
42337808,Adult Care Sector,Other Establishments,20/09/2024,"£22,857.56",Newfound Care Ltd
42337809,Adult Care Sector,Other Establishments,20/09/2024,"£13,422.36",Sense
42337814,Adult Care Sector,Other Establishments,20/09/2024,"£5,698.80",Woodview Care Ltd
42337815,Adult Care Sector,Other Establishments,20/09/2024,£928.11,Bupa Care Services (Commissioning) Ltd
42337816,Adult Care Sector,Other Establishments,20/09/2024,"£7,424.91",Bupa Care Services (Commissioning) Ltd
42337817,Adult Care Sector,Other Establishments,20/09/2024,"£1,179.20",Abbey Drive West
42337821,Adult Care Sector,Other Establishments,20/09/2024,"£2,598.72",Complete Care (Uk) Ltd
42337822,Adult Care Sector,Other Establishments,20/09/2024,"£74,106.65",Amber House
42337824,Adult Care Sector,Other Establishments,20/09/2024,"£5,197.44",Balmoral House
42337825,Adult Care Sector,Other Establishments,20/09/2024,"£2,598.72",Ascot House
42337826,Adult Care Sector,Other Establishments,20/09/2024,"£18,551.24",Beechcroft House
42337827,Adult Care Sector,Other Establishments,20/09/2024,"£10,177.12",Blyton Court
42337828,Adult Care Sector,Other Establishments,20/09/2024,"£46,064.73",Hc One
42337833,Adult Care Sector,Other Establishments,20/09/2024,"£3,785.16",Cas Learning Disabilities Ltd
42337835,Adult Care Sector,Other Establishments,20/09/2024,"£62,541.74",P&N Care Home Ltd
42337837,Adult Care Sector,Other Establishments,20/09/2024,"£7,239.29",Clarence House Care Centre
42337838,Adult Care Sector,Other Establishments,20/09/2024,"£9,490.04",Community Solutions
42337839,Adult Care Sector,Other Establishments,20/09/2024,"£15,971.20",Community Solutions
42337840,Adult Care Sector,Other Establishments,20/09/2024,"£9,391.16",Cygnets Broughton House
42337845,Adult Care Sector,Other Establishments,20/09/2024,"£11,160.32",The Gables Partnership Care Ltd
42337848,Adult Care Sector,Other Establishments,20/09/2024,£742.49,Greenacres Care Home
42337850,Adult Care Sector,Other Establishments,20/09/2024,"£9,555.68",Havenmere
42337852,Adult Care Sector,Other Establishments,20/09/2024,"£12,000.76",Heathcotes (Heathcotes Care Ltd)
42337854,Adult Care Sector,Other Establishments,20/09/2024,"£33,787.12",Hica
42337855,Adult Care Sector,Other Establishments,20/09/2024,"£3,758.24",Hica
42337858,Adult Care Sector,Other Establishments,20/09/2024,"£8,257.12",St Philips Care Caledonia Limited
42337861,Adult Care Sector,Other Establishments,20/09/2024,"£5,197.44",Holly House Residential Home
