Transaction number,Service Heads (T),Account (T),Transaction Date,Amount,Supplier Name
30221844,Adult Care Sector,IT Software Maintenance,07/06/2024,"£36,162.90",AutonoMe
42312897,Adult Care Sector,Other Establishments,04/06/2024,"£9,752.92",Affinity Care Consortium Ltd
42312899,Adult Care Sector,Other Establishments,04/06/2024,"£23,280.16",The Bridge Community Care Ltd
42312900,Adult Care Sector,Other Establishments,04/06/2024,"£11,954.96",Home From Home Care Management Ltd
42312901,Adult Care Sector,Other Establishments,04/06/2024,"£8,006.40",Hollybank Trust
42312903,Adult Care Sector,Other Establishments,04/06/2024,£943.52,Bramling Cross Care Ltd
42312904,Adult Care Sector,Other Establishments,04/06/2024,"£3,969.60",Four Seasons 2000 Limited
42312905,Adult Care Sector,Other Establishments,04/06/2024,£943.52,Monarch Healthcare (Ferndene) Ltd
42312907,Adult Care Sector,Other Establishments,04/06/2024,"£6,090.76",Autism Plus Limited
42312908,Adult Care Sector,Other Establishments,04/06/2024,"£22,857.56",Newfound Care Ltd
42312909,Adult Care Sector,Other Establishments,04/06/2024,"£11,413.68",Sense
42312911,Adult Care Sector,Other Establishments,04/06/2024,"£4,400.00",Hanumaan Limited
42312912,Adult Care Sector,Other Establishments,04/06/2024,£571.43,BH Care Home Ltd
42312914,Adult Care Sector,Other Establishments,04/06/2024,"£1,179.20",Abbey Drive West
42312920,Adult Care Sector,Other Establishments,04/06/2024,"£71,529.94",Amber House
42312922,Adult Care Sector,Other Establishments,04/06/2024,"£1,484.98",Balmoral House
42312923,Adult Care Sector,Other Establishments,04/06/2024,"£4,919.01",Ascot House
42312924,Adult Care Sector,Other Establishments,04/06/2024,"£21,516.80",Beechcroft House
42312925,Adult Care Sector,Other Establishments,04/06/2024,"£8,257.12",Blyton Court
42312926,Adult Care Sector,Other Establishments,04/06/2024,"£36,898.15",Hc One
42312931,Adult Care Sector,Other Establishments,04/06/2024,"£3,785.16",Cas Learning Disabilities Ltd
42312933,Adult Care Sector,Other Establishments,04/06/2024,"£75,393.68",P&N Care Home Ltd
42312935,Adult Care Sector,Other Establishments,04/06/2024,"£8,631.46",Clarence House Care Centre
42312936,Adult Care Sector,Other Establishments,04/06/2024,"£9,490.04",Community Solutions
42312937,Adult Care Sector,Other Establishments,04/06/2024,"£15,971.20",Community Solutions
42312938,Adult Care Sector,Other Establishments,04/06/2024,"£9,391.16",Cygnets Broughton House
42312942,Adult Care Sector,Other Establishments,04/06/2024,"£3,805.27",Edmund House
42312943,Adult Care Sector,Other Establishments,04/06/2024,"£2,833.84",The Gables Partnership Care Ltd
42312947,Adult Care Sector,Other Establishments,04/06/2024,"£2,598.72",Gresham Lodge Care Home
42312948,Adult Care Sector,Other Establishments,04/06/2024,"£9,286.36",Havenmere
42312950,Adult Care Sector,Other Establishments,04/06/2024,"£12,000.76",Heathcotes (Heathcotes Care Ltd)
42312951,Adult Care Sector,Other Establishments,04/06/2024,"£32,157.96",Hica
42312952,Adult Care Sector,Other Establishments,04/06/2024,"£2,104.20",Hica
42312955,Adult Care Sector,Other Establishments,04/06/2024,"£8,257.12",St Philips Care Caledonia Limited
42312958,Adult Care Sector,Other Establishments,04/06/2024,"£5,197.44",Holly House Residential Home
42312959,Adult Care Sector,Other Establishments,04/06/2024,"£10,394.88",Holme Farm Residential Rest Home
42312968,Adult Care Sector,Other Establishments,04/06/2024,"£11,820.52",The Legard
42312969,Adult Care Sector,Other Establishments,04/06/2024,"£1,372.20",The Legard
42312970,Adult Care Sector,Other Establishments,04/06/2024,"£11,071.08",The Legard
