Purchasing Organisation,Payment Date,Voucher Number (Internal Classification),Payment Number,Supplier Name,Service Area,Amount (£),Purpose,Supplier Type (Internal Classification),Invoice Type (Internal Classification),Cost Centre,Directorate
Reading Borough Council,02/09/2024,111758,36852,M&R SERVICES,Social Support,500,Third Party Payments          -,Purchased Care,RBC Mosaic Invoice,R5790,Directorate of Social Care and Health Services
Reading Borough Council,02/09/2024,112870,36890,CROWN LODGE GUEST HOUSE,Emergency Accommodation,525,Premises Related Expenses     -,Rents,RBC Standard Invoice,R5871,Directorate of Economic Growth and Neighbourhood Services
Reading Borough Council,02/09/2024,115461,36927,SELECT SERVICED ACCOMODATION,Emergency Accommodation,705,Premises Related Expenses     -,Rents,RBC Standard Invoice,R5871,Directorate of Economic Growth and Neighbourhood Services
Reading Borough Council,02/09/2024,109086,36898,MEDACO,LD Respite,593.3,Supplies and Services         -,Equipment Purchase & Repair,RBC Standard Invoice,R5064,Directorate of Social Care and Health Services
Reading Borough Council,02/09/2024,107723,36862,SUNNYSIDE AUTOS,Fleet Management,595,Transport Related Expenditure -,Vehicle Maintenance,RBC Standard Invoice,R4552,Directorate of Economic Growth and Neighbourhood Services
Reading Borough Council,02/09/2024,107530,36959,PEOPLESCOUT LTD,Network Services,609.47,Transport Related Expenditure -,Traffic Orders,RBC Refunds Manual Entry,R4703,Directorate of Economic Growth and Neighbourhood Services
Reading Borough Council,02/09/2024,116767,36911,BERKSHIRE VAN HIRE LTD,Fleet Management,611.63,Transport Related Expenditure -,Vehicle Spot Hire,RBC Standard Invoice,R4552,Directorate of Economic Growth and Neighbourhood Services
Reading Borough Council,02/09/2024,116768,36911,BERKSHIRE VAN HIRE LTD,Fleet Management,611.63,Transport Related Expenditure -,Vehicle Spot Hire,RBC Standard Invoice,R4552,Directorate of Economic Growth and Neighbourhood Services
Reading Borough Council,02/09/2024,116769,36911,BERKSHIRE VAN HIRE LTD,Fleet Management,611.63,Transport Related Expenditure -,Vehicle Spot Hire,RBC Standard Invoice,R4552,Directorate of Economic Growth and Neighbourhood Services
Reading Borough Council,02/09/2024,116771,36911,BERKSHIRE VAN HIRE LTD,Fleet Management,611.63,Transport Related Expenditure -,Vehicle Spot Hire,RBC Standard Invoice,R4552,Directorate of Economic Growth and Neighbourhood Services
Reading Borough Council,02/09/2024,115477,36927,SELECT SERVICED ACCOMODATION,Emergency Accommodation,770,Premises Related Expenses     -,Rents,RBC Standard Invoice,R5871,Directorate of Economic Growth and Neighbourhood Services
Reading Borough Council,02/09/2024,113595,36882,KCARE NURSING AGENCY LTD,PS Acquired Community Services,787.44,Third Party Payments          -,Purchased Care,RBC Mosaic Invoice,R5771,Directorate of Social Care and Health Services
Reading Borough Council,02/09/2024,108346,36856,ACTIVE ASSISTANCE,PS Acquired Community Services,801.48,Third Party Payments          -,Purchased Care,RBC Mosaic Invoice,R5771,Directorate of Social Care and Health Services
Reading Borough Council,02/09/2024,107739,36938,MEDILINK CONSULTING LTD,Coroner,700,Supplies and Services         -,Medical Fees,RBC Standard Invoice,R4605,Directorate of Economic Growth and Neighbourhood Services
Reading Borough Council,02/09/2024,108519,36862,SUNNYSIDE AUTOS,Fleet Management,752.29,Transport Related Expenditure -,Vehicle Maintenance,RBC Standard Invoice,R4552,Directorate of Economic Growth and Neighbourhood Services
Reading Borough Council,02/09/2024,116770,36911,BERKSHIRE VAN HIRE LTD,Fleet Management,757.33,Transport Related Expenditure -,Vehicle Spot Hire,RBC Standard Invoice,R4552,Directorate of Economic Growth and Neighbourhood Services
Reading Borough Council,02/09/2024,116882,36911,BERKSHIRE VAN HIRE LTD,Fleet Management,787.5,Transport Related Expenditure -,Vehicle Spot Hire,RBC Standard Invoice,R4552,Directorate of Economic Growth and Neighbourhood Services
Reading Borough Council,02/09/2024,111594,36922,HURLEY INDUSTRIAL CLEANING EQUIPMENT LTD,Corporate FM - Office Building,849.04,Premises Related Expenses     -,Building Maintenance,RBC Standard Invoice,R3738,Directorate of Economic Growth and Neighbourhood Services
