Body Name,Body,Service Area Categorisation,Responsible Unit,Expense Type,Date,Transaction Number,Amount,Supplier Name
Derbyshire County Council,1000,Adult Social Care,Adult Social Care and Health,Hire Of Vehicles,01/05/2025,1900017173,1664.88,Lion Cars Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Personal Care,01/05/2025,1900057882,2250,Birchwood Equestrian Centre
Derbyshire County Council,1000,Children & Education Services,Children's Services,Rents General,01/05/2025,1900058253,1500,QEGSMAT
Derbyshire County Council,1000,Children & Education Services,Children's Services,Input VAT,01/05/2025,5100004823,1375,Reed Talent Solutions Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Personal Care,01/05/2025,1900057895,1880,First Class Tailored Solutions
Derbyshire County Council,1000,Children & Education Services,Children's Services,Personal Care,01/05/2025,1900057892,700,Baby T Workshops
Derbyshire County Council,1000,Children & Education Services,Children's Services,Buildings - Minor Improvements,01/05/2025,1900057822,3830,Jason Roberts Electrical
Derbyshire County Council,1000,Children & Education Services,Children's Services,Input VAT,01/05/2025,5100005485,940,Valuation Office Agency
Derbyshire County Council,1000,Children & Education Services,Children's Services,Computer Hardware,01/05/2025,1900058008,2629.5,WCL UK Limited
Derbyshire County Council,1000,Children & Education Services,Children's Services,Input VAT,01/05/2025,1900058008,525.9,WCL UK Limited
Derbyshire County Council,1000,Children & Education Services,Children's Services,Academy Payments,01/05/2025,1900038162,8769.28,TW Clowes Norbury Estate
Derbyshire County Council,1000,Children & Education Services,Children's Services,Input VAT,01/05/2025,1900038162,1753.86,TW Clowes Norbury Estate
Derbyshire County Council,1000,Children & Education Services,Children's Services,Fostering Allowance,01/05/2025,1900058179,1411.76,REDACTED PERSONAL DATA
Derbyshire County Council,1000,Children & Education Services,Children's Services,Input VAT,01/05/2025,5100005428,536.64,Carter Brown
Derbyshire County Council,1000,Children & Education Services,Children's Services,Personal Care,01/05/2025,1900057903,574,Spin Learning Boxes
Derbyshire County Council,1000,Children & Education Services,Children's Services,Gas,01/05/2025,1900017260,680.55,Resolv Property 2 Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Electricity,01/05/2025,1900017260,713.7,Resolv Property 2 Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Input VAT,01/05/2025,5100000515,974.95,Bedspace Resource Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Input VAT,01/05/2025,5100000514,532.6,Bedspace Resource Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Hire Of Vehicles,01/05/2025,1900055182,1739.4,A Line (Chesterfield) Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Rents General,01/05/2025,1900058258,2000,Ritz Properties
Derbyshire County Council,1000,Children & Education Services,Children's Services,Input VAT,01/05/2025,5100000516,928.55,Bedspace Resource Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Input VAT,01/05/2025,5100000513,943.5,Bedspace Resource Ltd
Derbyshire County Council,1000,Highways & Transport Services,Place,Input VAT,01/05/2025,5100001325,1060,Wheelplant Ltd
Derbyshire County Council,1000,Highways & Transport Services,Place,Input VAT,01/05/2025,5100001974,933.31,Via East Midlands Ltd
Derbyshire County Council,1000,Highways & Transport Services,Place,Input VAT,01/05/2025,5100001950,623.97,Via East Midlands Ltd
Derbyshire County Council,1000,Highways & Transport Services,Place,Energy-Street Lights,01/05/2025,1900044280,210484.33,Edf Energy Customers Ltd
Derbyshire County Council,1000,Highways & Transport Services,Place,Input VAT,01/05/2025,5100001580,705,P D J Imports Ltd
Derbyshire County Council,1000,Highways & Transport Services,Place,Input VAT,01/05/2025,5100000837,632.94,Vertas Derbyshire Limited
Derbyshire County Council,1000,Highways & Transport Services,Place,Revenue Support,01/05/2025,1900055084,5890,Arriva Midlands North Limited
Derbyshire County Council,1000,Highways & Transport Services,Place,Input VAT,01/05/2025,5100001327,510,Wheelplant Ltd
Derbyshire County Council,1000,Highways & Transport Services,Place,Input VAT,01/05/2025,5100001557,5233.26,Police and Crime Commissioner
Derbyshire County Council,1000,Children & Education Services,Children's Services,Goods Received/Invoice Recd A/c,01/05/2025,5100005429,733.36,Carter Brown
Derbyshire County Council,1000,Children & Education Services,Children's Services,Goods Received/Invoice Recd A/c,01/05/2025,5100004160,953.78,Carter Brown
Derbyshire County Council,1000,Non Distributed Costs,Place,Vehicle cost - Parts,01/05/2025,1900018498,998.8,Russells Kirbymoorside Limited
Derbyshire County Council,1000,Highways & Transport Services,Place,Input VAT,01/05/2025,5100005362,545,J C Balls And Sons LTD
Derbyshire County Council,1000,Capital,Capital,Input VAT,01/05/2025,5100000597,985.33,SWARCO UK & Ireland Ltd
Derbyshire County Council,1000,Highways & Transport Services,Place,Input VAT,01/05/2025,5100005437,900,Blagg Plant Hire Worksop Ltd
Derbyshire County Council,1000,Non Distributed Costs,Corporate Services and Transformation,Craft Basic Pay,01/05/2025,1900058110,692.52,REDACTED PERSONAL DATA
Derbyshire County Council,1000,Non Distributed Costs,Corporate Services and Transformation,Input VAT,01/05/2025,5100004563,38511.6,Comensura Ltd
Derbyshire County Council,1000,Highways & Transport Services,Place,Input VAT,01/05/2025,1900044280,42045.12,Edf Energy Customers Ltd
