Body Name,Body,Service Area Categorisation,Responsible Unit,Expense Type,Date,Transaction Number,Amount,Supplier Name
Derbyshire County Council,1000,Balance Sheet,Balance Sheet,Lloyds Charge Card Control Account,01/08/2025,1900199042,1451.08,Lloyds Bank PLC
Derbyshire County Council,1000,Balance Sheet,Balance Sheet,Exch County Fund Cash withdrawals,01/08/2025,1900199139,500,Lloyds Bank PLC
Derbyshire County Council,1000,Children & Education Services,Children's Services,Goods Received/Invoice Recd A/c,04/08/2025,5100020794,11835,Denby Catering Equipment Ltd
Derbyshire County Council,1000,Non Distributed Costs,Corporate Services and Transformation,Goods Received/Invoice Recd A/c,04/08/2025,5100025525,2538.7,First 4 Supplies Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Home to Sch SN Trnsp,04/08/2025,1900199763,2160,Albatross Cars
Derbyshire County Council,1000,Children & Education Services,Children's Services,Home to Sch SN Trnsp,04/08/2025,1900199839,4660.02,Taxi Centre Derbyshire Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Input VAT,04/08/2025,1900199839,932,Taxi Centre Derbyshire Ltd
Derbyshire County Council,1000,Balance Sheet,Balance Sheet,Imprest - Outstanding Reimbursements,04/08/2025,1900199193,512.47,Chesterfield Area Office (CAYA)
Derbyshire County Council,1000,Non Distributed Costs,Corporate Services and Transformation,Insurance,04/08/2025,1900192894,46480,Arthur J Gallagher Insur Broker Ltd
Derbyshire County Council,1000,Non Distributed Costs,Corporate Services and Transformation,Insurance,04/08/2025,1900190199,330400,Arthur J Gallagher Insur Broker Ltd
Derbyshire County Council,1000,Balance Sheet,Balance Sheet,Goods Received/Invoice Recd A/c,04/08/2025,5100025239,9032,Instarmac Ltd
Derbyshire County Council,1000,Balance Sheet,Balance Sheet,Input VAT,04/08/2025,5100025239,1806.4,Instarmac Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Goods Received/Invoice Recd A/c,04/08/2025,5100024970,2775.34,Prism Medical UK Westholme Division
Derbyshire County Council,1000,Non Distributed Costs,Corporate Services and Transformation,Input VAT,04/08/2025,5100025525,507.74,First 4 Supplies Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Goods Received/Invoice Recd A/c,04/08/2025,5100025542,2848,DNA Care Services Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Goods Received/Invoice Recd A/c,04/08/2025,5100025545,2848,DNA Care Services Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Home to Sch SN Trnsp,04/08/2025,1900199706,6542.46,Taxi Centre Derbyshire Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Input VAT,04/08/2025,1900199706,1308.49,Taxi Centre Derbyshire Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Home to Sch SN Trnsp,04/08/2025,1900199832,1924.23,A Cabs Buxton Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Contract Hire - Transport,04/08/2025,1900199637,988,Taxi Centre Derbyshire Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Home to Sch SN Trnsp,04/08/2025,1900199637,1235,Taxi Centre Derbyshire Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Home to Sch SN Trnsp,04/08/2025,1900199377,3492.5,R Khan
Derbyshire County Council,1000,Children & Education Services,Children's Services,Home to Sch SN Trnsp,04/08/2025,1900199636,3465,Taxi Centre Derbyshire Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Home to Sch SN Trnsp,04/08/2025,1900199730,2952.36,Taxicover T/A Chriss Minicoaches
Derbyshire County Council,1000,Children & Education Services,Children's Services,Input VAT,04/08/2025,1900199636,693,Taxi Centre Derbyshire Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Input VAT,04/08/2025,1900199730,590.47,Taxicover T/A Chriss Minicoaches
Derbyshire County Council,1000,Highways & Transport Services,Place,Concessionary Fares - Elderly,04/08/2025,1900199211,5447.68,TM Travel
Derbyshire County Council,1000,Non Distributed Costs,Corporate Services and Transformation,Goods Received/Invoice Recd A/c,04/08/2025,5100025121,960,J S Environmental Ltd
Derbyshire County Council,1000,Highways & Transport Services,Place,Concessionary Fares - Elderly,04/08/2025,1900199207,8757.8,Transport for Greater Manchester
Derbyshire County Council,1000,Adult Social Care,Adult Social Care and Health,Independent Dom Services,04/08/2025,1900200365,2161.6,Serendipity Healthcare Ltd
Pension Fund,2000,Death Grants,Pension Fund,Death Grants,04/08/2025,1900001352,5306.27,REDACTED PERSONAL DATA
Pension Fund,2000,Refunds,Pension Fund,Refunds,04/08/2025,1900001344,1939.57,REDACTED PERSONAL DATA
Derbyshire County Council,1000,Adult Social Care,Adult Social Care and Health,Supported Living Schemes,04/08/2025,1900200565,-10473,EMH Group
Derbyshire County Council,1000,Adult Social Care,Adult Social Care and Health,Supported Living Schemes,04/08/2025,1900200049,2420,G-MAP Services Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Voluntary Organisations,04/08/2025,1900200912,3576.07,Bridging Gaps Fostering Agency
Derbyshire County Council,1000,Children & Education Services,Children's Services,Voluntary Organisations,04/08/2025,1900200949,4216.93,Compass Fostering Central Limited
Derbyshire County Council,1000,Children & Education Services,Children's Services,Academy Payments,04/08/2025,1900198986,500,Holbrook School for Autism
Derbyshire County Council,1000,Children & Education Services,Children's Services,Academy Payments,04/08/2025,1900198995,500,Hodthorpe Primary - Learners Trust
Derbyshire County Council,1000,Children & Education Services,Children's Services,Academy Payments,04/08/2025,1900198991,1100,St Georges CE Primary School
Pension Fund,2000,Lump Sums -Retirement Grant,Pension Fund,Lump Sums -Retirement Grant,04/08/2025,1900001354,12025.85,REDACTED PERSONAL DATA
Pension Fund,2000,Lump Sums -Retirement Grant,Pension Fund,Lump Sums -Retirement Grant,04/08/2025,1900001351,13369.64,REDACTED PERSONAL DATA
Pension Fund,2000,Death Grants,Pension Fund,Death Grants,04/08/2025,1900001355,27149.52,REDACTED PERSONAL DATA
Derbyshire County Council,1000,Children & Education Services,Children's Services,Voluntary Organisations,04/08/2025,1900200907,4409.79,Fusion Fostering
Pension Fund,2000,Death Grants,Pension Fund,Death Grants,04/08/2025,1900001335,4606.45,REDACTED PERSONAL DATA
Pension Fund,2000,Death Grants - Interest,Pension Fund,Death Grants - Interest,04/08/2025,1900001335,549.39,REDACTED PERSONAL DATA
Pension Fund,2000,Refunds,Pension Fund,Refunds,04/08/2025,1900001347,614.99,REDACTED PERSONAL DATA
Pension Fund,2000,Lump Sums -Retirement Grant,Pension Fund,Lump Sums -Retirement Grant,04/08/2025,1900001338,8862.67,REDACTED PERSONAL DATA
