Purchasing Organisation,Payment Date,Voucher Number (Internal Classification),Payment Number,Supplier Name,Service Area,Amount (£),Purpose,Supplier Type (Internal Classification),Invoice Type (Internal Classification),Cost Centre,Directorate
Reading Borough Council,01/03/2024,32267,12143,JADE SECURITY SERVICES LTD,Corporate Miscellaneous,506.25,Supplies and Services         -,Cash Collection Service,RBC Standard Invoice,R2855,Corporate
Reading Borough Council,01/03/2024,28852,12144,M&R SERVICES,Social Support,890,Third Party Payments          -,Purchased Care,RBC Mosaic Invoice,R5790,Directorate of Social Care and Health Services
Reading Borough Council,01/03/2024,39375,12145,PITNEY BOWES LTD,Post Room,10379.13,Supplies and Services         -,Postage,RBC Standard Invoice,R2585,Directorate of Economic Growth and Neighbourhood Services
Reading Borough Council,01/03/2024,32963,12148,INSTAGROUP LTD,MRA Account,4200,Premises Related Expenses     -,Feasibility Studies,RBC CIS Invoice,R5975,Housing
Reading Borough Council,01/03/2024,31714,12149,BIDVEST FOODSERVICE (BIDFOOD),Town Hall Operations,823.47,Supplies and Services         -,Catering Stock,RBC Standard Invoice,R1210,Directorate of Economic Growth and Neighbourhood Services
Reading Borough Council,01/03/2024,35098,12150,TRAVIS PERKINS TRADING COMPANY LTD,DLO Stock,123062.99,Supplies and Services         -,Stock Purchase,RBC Standard Invoice,R4002,Directorate of Economic Growth and Neighbourhood Services
Reading Borough Council,01/03/2024,35099,12150,TRAVIS PERKINS TRADING COMPANY LTD,DLO Stock,16242.98,Supplies and Services         -,Stock Purchase,RBC Standard Invoice,R4002,Directorate of Economic Growth and Neighbourhood Services
Reading Borough Council,01/03/2024,35100,12150,TRAVIS PERKINS TRADING COMPANY LTD,DLO Stock,2655.61,Supplies and Services         -,Stock Purchase,RBC Standard Invoice,R4002,Directorate of Economic Growth and Neighbourhood Services
Reading Borough Council,01/03/2024,35551,12150,TRAVIS PERKINS TRADING COMPANY LTD,DLO Stock,26938.03,Supplies and Services         -,Stock Purchase,RBC Standard Invoice,R4002,Directorate of Economic Growth and Neighbourhood Services
Reading Borough Council,01/03/2024,39373,12151,ASKEWS & HOLTS LIBRARY SERVICES LTD,General Reference,815.67,Supplies and Services         -,Library Books : Adult Fiction,RBC Standard Invoice,R1454,Directorate of Economic Growth and Neighbourhood Services
Reading Borough Council,01/03/2024,39376,12151,ASKEWS & HOLTS LIBRARY SERVICES LTD,General Reference,1244.7,Supplies and Services         -,Library Books : Adult Fiction,RBC Standard Invoice,R1454,Directorate of Economic Growth and Neighbourhood Services
Reading Borough Council,01/03/2024,26706,12157,READING TRANSPORT LTD,Strategic Transport & Concessi,256974.52,Third Party Payments          -,Payments for Bus Services,RBC Standard Invoice,R4726,Directorate of Economic Growth and Neighbourhood Services
Reading Borough Council,01/03/2024,26664,12158,BUILDING RESEARCH ESTABLISHMENT LTD,Planning,1475,Supplies and Services         -,Consultancy Fees,RBC Standard Invoice,R4700,Directorate of Economic Growth and Neighbourhood Services
Reading Borough Council,01/03/2024,33771,12162,HEADWAY THAMES VALLEY,PS Acquired Community Services,607.5,Third Party Payments          -,Purchased Care,RBC Mosaic Invoice,R5771,Directorate of Social Care and Health Services
Reading Borough Council,01/03/2024,32307,12164,EVERYCARE READING,Charles Clore Court,1130.86,Employees                     -,Agency Staff,RBC Standard Invoice,R5157,Directorate of Social Care and Health Services
Reading Borough Council,01/03/2024,27105,12165,CREATIVE DESIGN & STRUCTURE LTD,MRA Account,675,Premises Related Expenses     -,Roofs & Structural Repairs,RBC Standard Invoice,R5975,Housing
Reading Borough Council,01/03/2024,29876,12166,NEIL CURTIS FUNERAL CONTRACTOR,Streetscene,1300,Third Party Payments          -,Third Party Pymts: Other Estab,RBC Standard Invoice,R4567,Directorate of Economic Growth and Neighbourhood Services
Reading Borough Council,01/03/2024,29905,12167,SMS ENVIRONMENTAL LTD,Repairs,19470,Premises Related Expenses     -,Building Maintenance,RBC CIS Invoice,R5970,Housing
Reading Borough Council,01/03/2024,29906,12167,SMS ENVIRONMENTAL LTD,Repairs,2214.66,Premises Related Expenses     -,Building Maintenance,RBC CIS Invoice,R5970,Housing
Reading Borough Council,01/03/2024,29907,12167,SMS ENVIRONMENTAL LTD,Repairs,6090.6,Premises Related Expenses     -,Building Maintenance,RBC CIS Invoice,R5970,Housing
Reading Borough Council,01/03/2024,29912,12167,SMS ENVIRONMENTAL LTD,Repairs,1885,Premises Related Expenses     -,Building Maintenance,RBC CIS Invoice,R5970,Housing
Reading Borough Council,01/03/2024,29913,12167,SMS ENVIRONMENTAL LTD,Repairs,1237.31,Premises Related Expenses     -,Building Maintenance,RBC CIS Invoice,R5970,Housing
Reading Borough Council,01/03/2024,32956,12167,SMS ENVIRONMENTAL LTD,Corporate Maintenance Services,2387.03,Third Party Payments          -,Third Party Pymts: Other Estab,RBC CIS Invoice,R4080,Directorate of Economic Growth and Neighbourhood Services
Reading Borough Council,01/03/2024,27080,12169,RABBITS VEHICLE HIRE LTD,Fleet Management,4223.75,Transport Related Expenditure -,Vehicle Spot Hire,RBC Standard Invoice,R4552,Directorate of Economic Growth and Neighbourhood Services
Reading Borough Council,01/03/2024,27081,12169,RABBITS VEHICLE HIRE LTD,Fleet Management,2478.58,Transport Related Expenditure -,Vehicle Spot Hire,RBC Standard Invoice,R4552,Directorate of Economic Growth and Neighbourhood Services
Reading Borough Council,01/03/2024,28870,12170,PRESTIGE NETWORK,Customer Services - Reception,2470.9,Supplies and Services         -,Translation Services,RBC Standard Invoice,R2595,Directorate of Resources
