Purchasing Organisation,Payment Date,Voucher Number (Internal Classification),Payment Number,Supplier Name,Service Area,Amount (£),Purpose,Supplier Type (Internal Classification),Invoice Type (Internal Classification),Cost Centre No,Directorate
RBC Legal Entity,13/07/2023,4817968,99,TOTAL HEALTH SUPPORT & TRAINING SERVICES,ASC Senior Management Team,-30000,Other support - not recoverabl,INTERNAL,CREDIT,5700,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,03/07/2023,4807793,368496,STREET FURNISHINGS LTD,Highways and Drainage,442.2,Materials Direct,Third Party Supplier,STANDARD,4252,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,03/07/2023,4807793,368496,STREET FURNISHINGS LTD,Highways and Drainage,442.2,Materials Direct,Third Party Supplier,STANDARD,4252,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,03/07/2023,4807793,368496,STREET FURNISHINGS LTD,Highways and Drainage,464.4,Materials Direct,Third Party Supplier,STANDARD,4252,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,03/07/2023,4807793,368496,STREET FURNISHINGS LTD,Highways and Drainage,464.4,Materials Direct,Third Party Supplier,STANDARD,4252,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,03/07/2023,4807793,368496,STREET FURNISHINGS LTD,Highways and Drainage,884.4,Materials Direct,Third Party Supplier,STANDARD,4252,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,03/07/2023,4810559,368497,ROBINSON TRANSPORT & REMOVALS LTD,Repairs,480,Estate Maintenance,Third Party Supplier,STANDARD,5970,HAAA-Housing Revenue Account
RBC Legal Entity,03/07/2023,4814539,368498,EE LTD,IT Management,1107.5,Mobile Phones,UTILITY,STANDARD,2300,LAAA-Directorate of Resources
RBC Legal Entity,03/07/2023,4809666,368499,KEYLINE CIVILS SPECIALIST LTD,Highways and Drainage,573.78,Materials Direct,Third Party Supplier,STANDARD,4252,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,03/07/2023,4809764,368501,HOBART UK,Corporate Maintenance Services,481.74,TPP  Contract,Third Party Supplier,STANDARD,4080,KAAA-Directorate of Economic Growth and Neighbourhood Services
