Body Name,Supplier Code,Supplier Name,Transaction Ref/No,Their Ref,Date Paid,Gross Value (Detail),VAT Amount,7CCC - Level 7 Cost Centre Code,7CCN - Level 7 Cost Centre Name,9AC - Level 9 Account Code,9AN - Level 9 Account Name,4CCN - Level 4 Cost Centre Name
Blackpool Council,1094424,The Networking People,597538,SI111031,04/08/2022,40924.91,6820.82,FGAA,Ict Corporate Services,3531,Computer-H'Ware Purchase,Resources
Blackpool Council,1090874,Advanced Health And Care Limited,598558,ARMIN/00020314,02/08/2022,700.8,116.8,APDBAA,Homecare Management,3534,Computer Consumables,Adult & Families
Blackpool Council,1090874,Advanced Health And Care Limited,598559,ARMIN/00020236,02/08/2022,710.4,118.4,APDBAA,Homecare Management,3534,Computer Consumables,Adult & Families
Blackpool Council,1119493,Centerprise International Ltd,600219,90279202,02/08/2022,1980,330,CS0739,Ict Refresh,6525,I.T. Hardware Purchase,Capital - Resources
Blackpool Council,1111496,Bes Healthcare Ltd,600327,INVBES162283,24/08/2022,717.78,119.63,MTEAJ,Equipment,5401,Aids To Daily Living,Adult & Families
Blackpool Council,1119493,Centerprise International Ltd,600675,90279480,02/08/2022,3312,552,CS0739,Ict Refresh,6525,I.T. Hardware Purchase,Capital - Resources
Blackpool Council,1115576,Direct Healthcare Group Ltd,601866,GB02CSI007987,24/08/2022,352.27,58.71,MTEAJ,Equipment,5401,Aids To Daily Living,Adult & Families
Blackpool Council,1119493,Centerprise International Ltd,602053,90280469,18/08/2022,720,120,FGAA,Ict Corporate Services,3531,Computer-H'Ware Purchase,Resources
Blackpool Council,1116330,Faros Engineering Ltd,602122,8501,03/08/2022,306,51,FB0004,Energy & Sustainability,1202,Electricity,Resources
Blackpool Council,1119493,Centerprise International Ltd,602295,90280326,18/08/2022,7506,1251,FGAA,Ict Corporate Services,3531,Computer-H'Ware Purchase,Resources
Blackpool Council,1121728,Arrow County Supplies,602527,4955548,09/08/2022,333.8,0,ZM0018,Highways & Engineering,9773,Orders Received Not Invoiced,Blackpool Services
Blackpool Council,1121728,Arrow County Supplies,602527,4955548,09/08/2022,400.55,66.75,ZM0018,Highways & Engineering,9511A,Stocks Efin,Blackpool Services
Blackpool Council,1031475,Jenx Ltd T/A Jiraffe,602540,240629,03/08/2022,5176.8,862.8,MTEAJ,Equipment,5401,Aids To Daily Living,Adult & Families
Blackpool Council,1110775,Darbyshires Appliances Ltd,602684,060368,01/08/2022,499,0,CX4024,Winter Warmth Grant,6501,Contract Payments,Capital - Adult Social Care
Blackpool Council,1134696,Jpcs Limited,603079,SIN014935,01/08/2022,102108.86,17018.14,TRB,Maintenance & Works,4501,Private Contractors,Community & Env Services
Blackpool Council,1031475,Jenx Ltd T/A Jiraffe,603088,241305,31/08/2022,2946,491,MTEAJ,Equipment,5401,Aids To Daily Living,Adult & Families
Blackpool Council,1031475,Jenx Ltd T/A Jiraffe,603246,241400,31/08/2022,2751.6,458.6,MTEAJ,Equipment,5401,Aids To Daily Living,Adult & Families
Blackpool Council,1063638,Pristine Hygiene,603275,4940,04/08/2022,383.1,63.85,APCBAA,Coopers Way,3408,Services To Clients,Adult & Families
Blackpool Council,1063638,Pristine Hygiene,603331,4941,04/08/2022,383.1,63.85,APCBAA,Coopers Way,3408,Services To Clients,Adult & Families
Blackpool Council,1025240,Key Engineering Supplies Ltd,603720,51133,04/08/2022,976.4,0,ZM0018,Highways & Engineering,9773,Orders Received Not Invoiced,Blackpool Services
Blackpool Council,1025240,Key Engineering Supplies Ltd,603720,51133,04/08/2022,2050.44,341.74,ZM0018,Highways & Engineering,9511A,Stocks Efin,Blackpool Services
Blackpool Council,1116762,Dt Electrical (Uk) Ltd,603935,IN2784,12/08/2022,9156.13,1526.02,PJNA,New Features / Schemes - C & E,3308,Servicing,Places
Blackpool Council,1038314,Century Plastics Ltd,603989,96133077,09/08/2022,4224.9,0,ZM0018,Highways & Engineering,9773,Orders Received Not Invoiced,Blackpool Services
Blackpool Council,1038314,Century Plastics Ltd,603989,96133077,09/08/2022,5069.88,844.98,ZM0018,Highways & Engineering,9511A,Stocks Efin,Blackpool Services
Blackpool Council,1119493,Centerprise International Ltd,604265,90281855,17/08/2022,1008,168,FGAA,Ict Corporate Services,3531,Computer-H'Ware Purchase,Resources
Blackpool Council,1084671,Autocross Euroshel Limited,604293,8634,02/08/2022,146778.66,24463.11,CTACBA,Ltp Scheme 21/22,6518,Miscellaneous - Capital,Capital - Commnctn & Regen
Blackpool Council,1026811,Stannah Lift Services Ltd,604298,1085440644,24/08/2022,674.42,112.4,MVBBJ,Equipment,5401,Aids To Daily Living,Adult & Families
Blackpool Council,1026811,Stannah Lift Services Ltd,604299,1085440641,24/08/2022,1244.81,207.47,MVA,18-64,5401,Aids To Daily Living,Adult & Families
Blackpool Council,1009417,Eriks Industrial Services Fna Wyko,604301,02001110,08/08/2022,1823.7,303.95,PJLA,Maintenance,3041,Other Materials,Places
Blackpool Council,1012907,Arjo Uk Ltd,604372,3393400269,24/08/2022,340.8,56.8,MTEAJ,Equipment,5401,Aids To Daily Living,Adult & Families
Blackpool Council,1094424,The Networking People,604381,SI111462,03/08/2022,1980,330,FGAA,Ict Corporate Services,3531,Computer-H'Ware Purchase,Resources
Blackpool Council,1037659,Hellermanntyton,604387,G594891,03/08/2022,506.88,84.48,PJOA,Commercial & Marketing,3041,Other Materials,Places
Blackpool Council,1132064,The Growth Company,604392,6076974,04/08/2022,845.76,140.96,PVA,Other External Funding,3313,General Expenses,Places
Blackpool Council,1115052,Document Output Solutions Uk Limited,604399,22076374,04/08/2022,660,110,FBBEA,"Income, Recovery & Debtors",3401,General Services,Resources
Blackpool Council,1119533,Schuchmann Llp,604475,6895,04/08/2022,1140,190,MTEAJ,Equipment,5401,Aids To Daily Living,Adult & Families
Blackpool Council,1111999,Simon Critchley Photography,604481,203,04/08/2022,500,0,AHHBA,Blackpool Museum,3801,Other Expenses,Places
Blackpool Council,1038314,Century Plastics Ltd,604485,96133732,19/08/2022,1641.9,273.65,SCHEME,Highways Schemes,3041,Other Materials,Community & Env Services
Blackpool Council,1135571,Vupoint (Europe) Company Limited,604505,3068,04/08/2022,2851.2,475.2,COMSAF,Community Safety,3313,General Expenses,Community & Env Services
Blackpool Council,1006501,Thomas Fattorini Ltd,604510,I267402,04/08/2022,635.99,106,BCA,Corp And Member Services,3801,Other Expenses,Governance & Partnerships
Blackpool Council,1107790,Taylek Ltd,604538,INV-22162,16/08/2022,715.68,119.28,PJOA,Commercial & Marketing,3041,Other Materials,Places
Blackpool Council,1037404,Family Rights Group,604545,INV-0410,05/08/2022,4500,750,SBOARD,Springboard,3401,General Services,Children'S Services
Blackpool Council,1114036,Odlings Ltd T/A The Columbaria Co,604627,INV0084913,03/08/2022,706.8,117.8,CEMCRE,Cems Crems Etc,3454,Remove And Refix Memorials,Governance & Partnerships
Blackpool Council,1114036,Odlings Ltd T/A The Columbaria Co,604631,INV0084914,03/08/2022,706.8,117.8,CEMCRE,Cems Crems Etc,3454,Remove And Refix Memorials,Governance & Partnerships
Blackpool Council,1015415,Hmg Paints Ltd,604645,5141756,05/08/2022,858.96,143.16,PJNA,New Features / Schemes - C & E,3041,Other Materials,Places
Blackpool Council,1010860,Advanced Steel Services Ltd,604646,01121210,23/08/2022,2911.2,485.2,SCHEME,Highways Schemes,3041,Other Materials,Community & Env Services
Blackpool Council,1085729,W V Howe Limited,604653,300277,05/08/2022,281.52,46.92,EK0198,Adult Learning Health Works Alterations,0917,Other Exps,Places
Blackpool Council,1102294,Pure Promoter Ltd T/A Pure 360,604706,306223,05/08/2022,267.46,44.58,PRJAAA,Website Team,3535,Website Costs,Places
Blackpool Council,1058510,Lifeline Language Services Ltd,604708,0422037,03/08/2022,284.4,47.4,JEA,Senior Management,5507,Personal,Children'S Services
Blackpool Council,1006586,H Jenkinson & Co Ltd,604722,SINV00936907,03/08/2022,365.76,60.96,NA1371,Management,3001,Office Equipment Purchase,Children'S Services
Blackpool Council,1114036,Odlings Ltd T/A The Columbaria Co,604803,INV0084915,03/08/2022,706.8,117.8,CEMCRE,Cems Crems Etc,3454,Remove And Refix Memorials,Governance & Partnerships
Blackpool Council,1081075,Bowland Ecology Ltd,604806,INV-171313/2,05/08/2022,1437,239.5,AEB,Buildings,3401,General Services,Resources
Blackpool Council,1106616,Boingboing Resilience Cic,604817,738,03/08/2022,5280,880,HS0003,Headstart Commissioning,3401,General Services,Children'S Services
Blackpool Council,1106616,Boingboing Resilience Cic,604818,739,03/08/2022,11564.78,1927.46,HS0007,Young People & Comm'Y Engagemt,4501,Private Contractors,Children'S Services
Blackpool Council,1106616,Boingboing Resilience Cic,604819,741,03/08/2022,5280,880,HS0003,Headstart Commissioning,3401,General Services,Children'S Services
Blackpool Council,1106616,Boingboing Resilience Cic,604820,742,03/08/2022,11564.78,1927.46,HS0007,Young People & Comm'Y Engagemt,4501,Private Contractors,Children'S Services
Blackpool Council,1106616,Boingboing Resilience Cic,604821,743,03/08/2022,51864,8644,HS0003,Headstart Commissioning,3401,General Services,Children'S Services
Blackpool Council,1106616,Boingboing Resilience Cic,604890,740,03/08/2022,51864,8644,HS0003,Headstart Commissioning,3401,General Services,Children'S Services
Blackpool Council,1012705,Construction Software Services Partnership,604933,INV-17089,10/08/2022,1668,278,AED,Capital Projects,3711,Subscriptions,Resources
Blackpool Council,1112762,The Lowry Centre Trust,604948,2302,05/08/2022,5000,0,PJW,Management - Places - Illumina,3711,Subscriptions,Places
Blackpool Council,1086788,Idox Software Ltd,604952,7038528,11/08/2022,570,95,PLBAAA,Development Control,3413,Consultants,Places
Blackpool Council,1058510,Lifeline Language Services Ltd,604984,0422015,03/08/2022,324,54,JEA,Senior Management,5507,Personal,Children'S Services
Blackpool Council,1058510,Lifeline Language Services Ltd,604985,0422017,04/08/2022,255,42.5,JEA,Senior Management,5507,Personal,Children'S Services
Blackpool Council,1123071,Whistlejacket London Limited,604993,INV-0852,05/08/2022,2235.6,372.6,HJA,Growth,3315,Marketing,Places
Blackpool Council,1123071,Whistlejacket London Limited,604994,INV-0849,05/08/2022,3000,500,HJA,Growth,3315,Marketing,Places
Blackpool Council,1123071,Whistlejacket London Limited,604995,INV-0850,05/08/2022,900,150,HJA,Growth,3315,Marketing,Places
Blackpool Council,1123071,Whistlejacket London Limited,604996,INV-0851,05/08/2022,9000,1500,HJA,Growth,3315,Marketing,Places
Blackpool Council,1116610,Smart Video & Sensing Limited,604998,101425,10/08/2022,9467.69,1577.95,TRA,Traffic Management,4501,Private Contractors,Community & Env Services
Blackpool Council,1116610,Smart Video & Sensing Limited,604999,101429,10/08/2022,522,87,CTACBA,Ltp Scheme 21/22,6501,Contract Payments,Capital - Commnctn & Regen
Blackpool Council,1069392,Meon Ltd,605005,M75929,10/08/2022,323.73,0,ZM0018,Highways & Engineering,9773,Orders Received Not Invoiced,Blackpool Services
Blackpool Council,1069392,Meon Ltd,605005,M75929,10/08/2022,647.46,107.91,ZM0018,Highways & Engineering,9511A,Stocks Efin,Blackpool Services
Blackpool Council,1102823,Wilde Consultants Limited,605009,23282,11/08/2022,7180.8,1196.8,TRA,Traffic Management,4501,Private Contractors,Community & Env Services
Blackpool Council,1102823,Wilde Consultants Limited,605010,23281,11/08/2022,4174.56,695.76,TRA,Traffic Management,4501,Private Contractors,Community & Env Services
Blackpool Council,1098651,Direct Parts Supply Ltd T/A Gym-Fit,605017,46855,05/08/2022,958.85,159.81,LEISUR,Leisure Management,2002,Repairs And Maintenance,Community & Env Services
Blackpool Council,1092768,21st Century Passenger Systems Limited,605019,202982,11/08/2022,5718.04,953.01,TRA,Traffic Management,4501,Private Contractors,Community & Env Services
Blackpool Council,1053261,Ad Systems (Uk) Limited,605062,INV-9937,25/08/2022,714,119,CCTV,Cctv,3012,Other Equipment,Community & Env Services
Blackpool Council,1082364,M2 Education,605063,PIN-51147,02/08/2022,412.8,68.8,VIRTUL,Virtual Hub,0917,Other Exps,Children'S Services
Blackpool Council,1134332,Epe Reynell Advertising Limited,605067,INV_415807,04/08/2022,434.59,72.43,TRA,Traffic Management,4501,Private Contractors,Community & Env Services
Blackpool Council,1114036,Odlings Ltd T/A The Columbaria Co,605073,INV0084995,05/08/2022,706.8,117.8,CEMCRE,Cems Crems Etc,3454,Remove And Refix Memorials,Governance & Partnerships
Blackpool Council,1120929,Sheilds Ltd,605074,INV-23066,12/08/2022,17304,2884,LM0420,Adults Training,0911,Training Expenses,Adult & Families
Blackpool Council,1017722,Terrys Cut Price Carpets Ltd,605076,1895,02/08/2022,313.2,52.2,JEA,Senior Management,5554,Personal Needs (Lca Only),Children'S Services
Blackpool Council,1100318,Thriiver,605093,81699,04/08/2022,1920,320,NA1271,Management,3401,General Services,Children'S Services
Blackpool Council,1057663,Wilde Recruitment Ltd,605095,41006,05/08/2022,736.51,122.75,CTAHHA,Tramway Emergency Works,6501,Contract Payments,Capital - Commnctn & Regen
Blackpool Council,1126568,Talking Menopause,605112,1322,05/08/2022,954,159,FK0071,Corporate Training,3426,Course Fees,Chief Executive
Blackpool Council,1025240,Key Engineering Supplies Ltd,605116,51646,12/08/2022,643.33,107.22,HS0007,Young People & Comm'Y Engagemt,3401,General Services,Children'S Services
Blackpool Council,1068292,St John Ambulance,605137,SP22004061,05/08/2022,798.72,133.12,PRB,Events,3401,General Services,Places
Blackpool Council,1102319,Langdale Free School,605138,24,05/08/2022,2250,0,EP8011,Covid Winter Grant,3701,Grants,Children'S Services
Blackpool Council,1058510,Lifeline Language Services Ltd,605140,0422023,05/08/2022,367.8,61.3,JEA,Senior Management,5507,Personal,Children'S Services
Blackpool Council,1110952,Mereside Primary Academy,605143,0000000224,12/08/2022,13950,0,EP8011,Covid Winter Grant,3701,Grants,Children'S Services
Blackpool Council,1135561,Measurelab Limited,605183,ML-INV-50963,12/08/2022,2160,360,PBF,Communications,0911,Training Expenses,Places
Blackpool Council,1006944,Siemens Financial Services Ltd,605188,244/22/0194009,05/08/2022,2692.8,448.8,APFBAB,Vitaline,3711,Subscriptions,Adult & Families
Blackpool Council,1006944,Siemens Financial Services Ltd,605189,244/22/0195040,09/08/2022,1183.06,197.17,APFBAB,Vitaline,3711,Subscriptions,Adult & Families
Blackpool Council,1120630,Dar Consulting,605276,SI-257,12/08/2022,2508,418,FL1235,Trans - Technical Support,4501,Private Contractors,Community & Env Services
Blackpool Council,1123472,Lancashire Care Ltd T/A Lastminute Nursing,605280,15447,19/08/2022,3069,0,MTEBF,Home Care,4512,Other Care Block Payments,Adult & Families
Blackpool Council,1008871,Irrv Services,605282,A131478,12/08/2022,1620,270,FBBEA,"Income, Recovery & Debtors",3532,Comp-Running & License Costs,Resources
Blackpool Council,1053261,Ad Systems (Uk) Limited,605289,INV-9956,22/08/2022,5152.8,858.8,CGRESO,Resources Schemes,6507,Materials,Capital - Resources
Blackpool Council,1135571,Vupoint (Europe) Company Limited,605382,3095,12/08/2022,1008,168,COMSAF,Community Safety,3301,Printing,Community & Env Services
Blackpool Council,1053261,Ad Systems (Uk) Limited,605389,INV-9958,25/08/2022,360.78,60.13,CGRESO,Resources Schemes,6507,Materials,Capital - Resources
Blackpool Council,1053261,Ad Systems (Uk) Limited,605391,INV-9960,09/08/2022,1740.47,290.08,CGRESO,Resources Schemes,6507,Materials,Capital - Resources
Blackpool Council,1090841,Beech Forklifts Ltd,605393,T3422,05/08/2022,354,59,PJHA,"Depot, Management & Admin",0911,Training Expenses,Places
