Body Name,Supplier Code,Supplier Name,Transaction Ref/No,Their Ref,Date Paid,Gross Value (Detail),VAT Amount,7CCC - Level 7 Cost Centre Code,7CCN - Level 7 Cost Centre Name,9AC - Level 9 Account Code,9AN - Level 9 Account Name,4CCN - Level 4 Cost Centre Name
Blackpool Council,1031475,Jenx Ltd T/A Jiraffe,612690,400390,25/01/2023,2606.4,434.4,MTEAJ,Equipment,5401,Aids To Daily Living,Adult & Families
Blackpool Council,1031475,Jenx Ltd T/A Jiraffe,612692,400319,25/01/2023,2851.8,475.3,MTEAJ,Equipment,5401,Aids To Daily Living,Adult & Families
Blackpool Council,1006940,Smiths Equipment Hire Ltd - Smiths Training,612853,12-1095932,16/01/2023,1134,189,PJAA,"Erection, Operation & Dismantl",3006,Hire Of Equipment,Places
Blackpool Council,1009004,Bemrosebooth Paragon Limited T/A Paragon Id,613796,508164,20/01/2023,2520,420,PARADM,Parking Administration,3302,Stationery,Budgets Outside Cash Limits
Blackpool Council,1031475,Jenx Ltd T/A Jiraffe,614125,400577,25/01/2023,3094.2,515.7,MTEAJ,Equipment,5401,Aids To Daily Living,Adult & Families
Blackpool Council,1091465,Dm Orthotics Limited,615019,19751,25/01/2023,433.25,0,MTEAJ,Equipment,5401,Aids To Daily Living,Adult & Families
Blackpool Council,1018184,Blackpool Skip Hire Ltd,615592,044186,11/01/2023,282,47,FC1802,Social Fund - Client,5210,Community Care Support,Resources
Blackpool Council,1085991,Unitas Academy Ltd,616087,INV-10038,17/01/2023,500,0,VA0010,Vah Management & Admin,3426,Course Fees,Children'S Services
Blackpool Council,1009004,Bemrosebooth Paragon Limited T/A Paragon Id,616494,507682,20/01/2023,1404,234,PARADM,Parking Administration,3302,Stationery,Budgets Outside Cash Limits
Blackpool Council,1020575,Blachere Illumination Uk Ltd,616582,SI55374,05/01/2023,465.6,77.6,PJNA,New Features / Schemes - C & E,3041,Other Materials,Places
Blackpool Council,1009642,Dell Corporation Ltd,616746,7402844478,05/01/2023,4019.9,669.98,PJNA,New Features / Schemes - C & E,3041,Other Materials,Places
Blackpool Council,1037659,Hellermanntyton,616918,G629489,09/01/2023,1938,323,PJOA,Commercial & Marketing,3041,Other Materials,Places
Blackpool Council,1090628,The Furniture Recycling Group,616969,INV32279,09/01/2023,285.94,47.66,CWASTE,Commercial Waste,4501,Private Contractors,Community & Env Services
Blackpool Council,1012272,National World Publishing,617904,660499,17/01/2023,653.62,108.94,PBF,Communications,3315,Marketing,Places
Blackpool Council,1006940,Smiths Equipment Hire Ltd - Smiths Training,617907,03-1110641,09/01/2023,660,110,PJNA,New Features / Schemes - C & E,3006,Hire Of Equipment,Places
Blackpool Council,1006940,Smiths Equipment Hire Ltd - Smiths Training,617908,07-1110643,12/01/2023,1505.4,250.9,PJAA,"Erection, Operation & Dismantl",3006,Hire Of Equipment,Places
Blackpool Council,1006940,Smiths Equipment Hire Ltd - Smiths Training,617909,07-1110644,12/01/2023,1759.62,293.27,PJAA,"Erection, Operation & Dismantl",3006,Hire Of Equipment,Places
Blackpool Council,1006940,Smiths Equipment Hire Ltd - Smiths Training,617910,12-1110645,16/01/2023,3273.6,545.6,PJAA,"Erection, Operation & Dismantl",3006,Hire Of Equipment,Places
Blackpool Council,1006940,Smiths Equipment Hire Ltd - Smiths Training,617911,12-1110646,06/01/2023,316.8,52.8,PJAA,"Erection, Operation & Dismantl",3006,Hire Of Equipment,Places
Blackpool Council,1095113,Pearce Clinical Psychology Services Ltd,618295,962,03/01/2023,2068,0,FK0013,Corporate Health,0992,Medical Fees (Employee),Chief Executive
Blackpool Council,1064524,Studio Due Uk Limited,618299,1666,09/01/2023,670,0,PJLA,Maintenance,3041,Other Materials,Places
