Body Name,Supplier Code,Supplier Name,Transaction Ref/No,Their Ref,Date Paid,Gross Value (Detail),VAT Amount,7CCC - Level 7 Cost Centre Code,7CCN - Level 7 Cost Centre Name,9AC - Level 9 Account Code,9AN - Level 9 Account Name,4CCN - Level 4 Cost Centre Name
Blackpool Council,1107463,REDACTED PERSONAL DATA,4723483,490669,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1107507,REDACTED PERSONAL DATA,4723484,490440,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1107631,REDACTED PERSONAL DATA,4723485,490501,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1107776,REDACTED PERSONAL DATA,4723486,490905,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1107820,REDACTED PERSONAL DATA,4723487,490842,01/07/2022,783.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1107830,REDACTED PERSONAL DATA,4723488,490492,01/07/2022,783.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1107945,REDACTED PERSONAL DATA,4723489,490623,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1107945,REDACTED PERSONAL DATA,4723490,490919,01/07/2022,571.29,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1108085,REDACTED PERSONAL DATA,4723491,490615,01/07/2022,916.71,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1108127,REDACTED PERSONAL DATA,4723492,490562,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1108127,REDACTED PERSONAL DATA,4723493,490499,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1108216,REDACTED PERSONAL DATA,4723494,490841,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1108371,REDACTED PERSONAL DATA,4723495,490939,01/07/2022,2399.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1108372,REDACTED PERSONAL DATA,4723496,490846,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1108372,REDACTED PERSONAL DATA,4723497,490716,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
