Body Name,Supplier Code,Supplier Name,Transaction Ref/No,Their Ref,Date Paid,Gross Value (Detail),VAT Amount,7CCC - Level 7 Cost Centre Code,7CCN - Level 7 Cost Centre Name,9AC - Level 9 Account Code,9AN - Level 9 Account Name,4CCN - Level 4 Cost Centre Name
Blackpool Council,1007458,Prory Court Developments,4768701,511929,22/09/2022,1552.74,0,MGDBE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1007854,Nightingales Care Limited,4768702,511974,21/09/2022,1689.14,0,MGCBE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1008101,Deafway,4768703,512002,21/09/2022,2736.84,0,MFBBE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1008395,Langley House Trust,4768704,511993,21/09/2022,3666.36,0,MFABE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1008395,Langley House Trust,4768705,511958,21/09/2022,3235.04,0,MFABE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1008671,North Shore Nursing Home,4768710,511921,21/09/2022,3881.96,0,MFCBE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1008671,North Shore Nursing Home,4768711,511934,21/09/2022,2601.8,0,MGBBE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1008671,North Shore Nursing Home,4768712,511981,21/09/2022,3881.96,0,MFABE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1008671,North Shore Nursing Home,4768713,512036,21/09/2022,7722.44,0,MXCBE,Supported & Other Accommodatio,4201,Joint Authorities,Adult & Families
Blackpool Council,1008671,North Shore Nursing Home,4768714,512039,21/09/2022,6442.28,0,MFABE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1008671,North Shore Nursing Home,4768715,512023,21/09/2022,3455.24,0,MFABE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1008671,North Shore Nursing Home,4768716,511906,21/09/2022,2178.56,0,MVDBE,Supported & Other Accommodatio,4201,Joint Authorities,Adult & Families
Blackpool Council,1008671,North Shore Nursing Home,4768717,511989,21/09/2022,2586.64,0,MGCBE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1008671,North Shore Nursing Home,4768718,512021,21/09/2022,3881.96,0,MFABE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1010448,The Belmar Nursing Home,4768719,511909,21/09/2022,1642.1,0,MFABE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1010448,The Belmar Nursing Home,4768720,511914,21/09/2022,1915.65,0,MSBBE,Supported & Other Accomodation,7583,Indep Sect Nursing Homes,Adult & Families
Blackpool Council,1010448,The Belmar Nursing Home,4768720,511914,21/09/2022,1699.6,0,MSBBE,Supported & Other Accomodation,4201,Joint Authorities,Adult & Families
Blackpool Council,1010448,The Belmar Nursing Home,4768721,511941,21/09/2022,1642.08,0,MFBBE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1010448,The Belmar Nursing Home,4768722,511964,21/09/2022,1642.1,0,MFABE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1010448,The Belmar Nursing Home,4768723,511967,21/09/2022,1642.1,0,MFABE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1010448,The Belmar Nursing Home,4768724,512001,21/09/2022,1642.1,0,MGCBE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1010448,The Belmar Nursing Home,4768725,512017,21/09/2022,1642.08,0,MFABE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1010448,The Belmar Nursing Home,4768726,512020,21/09/2022,1649.6,0,MFABE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1010448,The Belmar Nursing Home,4768727,512043,21/09/2022,1648.4,0,MFABE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1010450,New Thursby Nursing Home,4768728,511940,21/09/2022,1648.56,0,MFABE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1010652,Conifers Nursing Home,4768729,511905,21/09/2022,8064,0,MGBBE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1010732,Alexandra Nursing Home,4768730,512037,21/09/2022,2175.2,0,MVCBE,Supported & Other Accommodatio,4201,Joint Authorities,Adult & Families
Blackpool Council,1010732,Alexandra Nursing Home,4768731,512031,21/09/2022,19153.42,0,MGCBE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1010732,Alexandra Nursing Home,4768732,511928,21/09/2022,2104.26,0,MGABE,Home Care,4201,Joint Authorities,Adult & Families
Blackpool Council,1010749,Lytham Court Nursing Home,4768733,511947,21/09/2022,2504.28,0,MVBBE,Supported & Other Accommodatio,4201,Joint Authorities,Adult & Families
Blackpool Council,1034533,Richmond Fellowship,4768734,511908,21/09/2022,1484.14,0,MFABE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1034533,Richmond Fellowship,4768735,512040,21/09/2022,2205.9,0,MFABE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1034533,Richmond Fellowship,4768736,512038,21/09/2022,1188.34,0,MFABE,Supported & Other Accom,7583,Indep Sect Nursing Homes,Adult & Families
Blackpool Council,1034533,Richmond Fellowship,4768736,512038,21/09/2022,2205.92,0,MFABE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1034533,Richmond Fellowship,4768737,512022,21/09/2022,2332.12,0,MFABE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1034533,Richmond Fellowship,4768738,512012,21/09/2022,2321.78,0,MFABE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1034533,Richmond Fellowship,4768739,511959,21/09/2022,2332.08,0,MFABE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1055089,Langley House Trust,4768740,511935,21/09/2022,4037.36,0,MFBBE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
Blackpool Council,1055089,Langley House Trust,4768741,511955,21/09/2022,2552.08,0,MHABE,Home Care,4201,Joint Authorities,Adult & Families
Blackpool Council,1067603,Creative Support Ltd,4768742,512025,21/09/2022,1463.32,0,MFABE,Supported & Other Accom,4201,Joint Authorities,Adult & Families
