Body Name,Body,Service Area Categorisation,Responsible Unit,Expense Type,Date,Transaction Number,Amount,Supplier Name
Derbyshire County Council,1000,Adult Social Care,Adult Social Care and Health,Input VAT,02/01/2025,5100057081,789.02,Veolia ES UK Ltd
Derbyshire County Council,1000,Adult Social Care,Adult Social Care and Health,Professional Fees,02/01/2025,1900408240,694.62,REDACTED PERSONAL DATA
Derbyshire County Council,1000,Adult Social Care,Adult Social Care and Health,Input VAT,02/01/2025,5100062316,958.95,Elis UK Limited
Derbyshire County Council,1000,Adult Social Care,Adult Social Care and Health,Input VAT,02/01/2025,5100061327,1596,Trident Housing Association Ltd
Derbyshire County Council,1000,Adult Social Care,Adult Social Care and Health,Input VAT,02/01/2025,5100056880,1056.08,Trident Housing Association Ltd
Derbyshire County Council,1000,Adult Social Care,Adult Social Care and Health,Resident’s Savings,02/01/2025,1900372374,1595.48,Blue Square Residential Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Home to Sch SN Trnsp,02/01/2025,1900371948,6778.8,F E Khan
Derbyshire County Council,1000,Children & Education Services,Children's Services,Home to Sch SN Trnsp,02/01/2025,1900407425,2000,Mr Faisle Rashid
Derbyshire County Council,1000,Children & Education Services,Children's Services,Special Need Schools & Colleges,02/01/2025,1900412663,2521.75,La Petite Academy
Derbyshire County Council,1000,Adult Social Care,Adult Social Care and Health,Input VAT,02/01/2025,5100061861,7759.53,Access UK Ltd
Derbyshire County Council,1000,Adult Social Care,Adult Social Care and Health,Hire Of Vehicles,02/01/2025,1900372434,1664.88,Lion Cars Ltd
Derbyshire County Council,1000,Adult Social Care,Adult Social Care and Health,Input VAT,02/01/2025,5100059377,11767.2,Sight Support Derbyshire
Derbyshire County Council,1000,Adult Social Care,Adult Social Care and Health,Professional Fees,02/01/2025,1700001873,-607.79,REDACTED PERSONAL DATA
Derbyshire County Council,1000,Adult Social Care,Adult Social Care and Health,Resident’s Savings,02/01/2025,1900411862,8851.5,REDACTED PERSONAL DATA
Derbyshire County Council,1000,Non Distributed Costs,Corporate Services and Transformation,Input VAT,02/01/2025,5100057771,849,County Fencing
Derbyshire County Council,1000,Non Distributed Costs,Corporate Services and Transformation,Input VAT,02/01/2025,5100058887,537.73,Bss Group Plc
Derbyshire County Council,1000,Non Distributed Costs,Corporate Services and Transformation,Goods Received/Invoice Recd A/c,02/01/2025,5100058887,2688.66,Bss Group Plc
Derbyshire County Council,1000,Non Distributed Costs,Corporate Services and Transformation,Input VAT,02/01/2025,5100056331,612.43,Everything Everywhere Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Input VAT,02/01/2025,5100061474,907.2,CY4OR Legal Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Special Need Schools & Colleges,02/01/2025,1900412664,18196.67,Greater Manchester Independent Scho
Derbyshire County Council,1000,Children & Education Services,Children's Services,Payments to 3rd Parties,02/01/2025,1900394004,665,Berry Hill Primary School
Derbyshire County Council,1000,Highways & Transport Services,Place,Goods Received/Invoice Recd A/c,02/01/2025,5100062516,1244.3,Huws Gray Group
Derbyshire County Council,1000,Children & Education Services,Children's Services,Input VAT,02/01/2025,5100060392,837.88,Concertus Derbyshire Limited
Derbyshire County Council,1000,Highways & Transport Services,Place,Goods Received/Invoice Recd A/c,02/01/2025,5100061757,1724.9,J C Balls And Sons LTD
Derbyshire County Council,1000,Adult Social Care,Adult Social Care and Health,Input VAT,02/01/2025,5100059898,755.6,PHS Group Ltd
Derbyshire County Council,1000,Non Distributed Costs,Place,Vehicle cost - Parts,02/01/2025,1900373300,1054.27,PartsPlus
Derbyshire County Council,1000,Highways & Transport Services,Place,Input VAT,02/01/2025,5100059291,967.23,Compass Minerals UK Ltd
Derbyshire County Council,1000,Highways & Transport Services,Place,Input VAT,02/01/2025,5100058861,565,Wheelplant Ltd
Derbyshire County Council,1000,Adult Social Care,Adult Social Care and Health,Non-Contracted - Residential,02/01/2025,1900390349,311239.86,EMH Care and Support LTD
Derbyshire County Council,1000,Children & Education Services,Children's Services,Personal Care,02/01/2025,1900412647,699.96,Lets Talk
Derbyshire County Council,1000,Adult Social Care,Adult Social Care and Health,Goods Received/Invoice Recd A/c,02/01/2025,5100061327,7980,Trident Housing Association Ltd
Derbyshire County Council,1000,Adult Social Care,Adult Social Care and Health,Goods Received/Invoice Recd A/c,02/01/2025,5100056880,5280.42,Trident Housing Association Ltd
Derbyshire County Council,1000,Adult Social Care,Adult Social Care and Health,Goods Received/Invoice Recd A/c,02/01/2025,5100062255,1494,Trident Housing Association Ltd
Derbyshire County Council,1000,Adult Social Care,Adult Social Care and Health,Goods Received/Invoice Recd A/c,02/01/2025,5100062316,4794.76,Elis UK Limited
Derbyshire County Council,1000,Children & Education Services,Children's Services,Personal Care,02/01/2025,1900412643,685.5,Helen L Williams
Derbyshire County Council,1000,Children & Education Services,Children's Services,Personal Care,02/01/2025,1900412648,700,Tutors and Exams Ltd
Derbyshire County Council,1000,"Cultural, Environmental & Planning Services",Place,Equipment Maintenance Agreements,02/01/2025,1900392884,868.21,Servitech International Limited
Derbyshire County Council,1000,Highways & Transport Services,Place,Input VAT,02/01/2025,5100058434,827.47,G D Golding Skip Hire Ltd
Derbyshire County Council,1000,Highways & Transport Services,Place,Electricity,02/01/2025,1900411757,2864.85,Edf Energy Customers Ltd
Derbyshire County Council,1000,Highways & Transport Services,Place,Grants,02/01/2025,1900412670,4500.8,REDACTED PERSONAL DATA
Derbyshire County Council,1000,Non Distributed Costs,Corporate Services and Transformation,Input VAT,02/01/2025,5100062093,6618.17,British Telecommunications
Derbyshire County Council,1000,Children & Education Services,Children's Services,Input VAT,02/01/2025,5100060393,768.96,Concertus Derbyshire Limited
Derbyshire County Council,1000,Non Distributed Costs,Place,Vehicle cost - Parts,02/01/2025,1900394385,678.27,Stoneacre Peugeot
Derbyshire County Council,1000,Children & Education Services,Children's Services,Personal Care,02/01/2025,1900412646,766.97,Lets Talk
Derbyshire County Council,1000,Highways & Transport Services,Place,Input VAT,02/01/2025,5100058696,1864.76,Tarmac Trading Limited
Derbyshire County Council,1000,Highways & Transport Services,Place,Grants,02/01/2025,1900412672,5000,REDACTED PERSONAL DATA
Derbyshire County Council,1000,Children & Education Services,Children's Services,Other Local Authorities,02/01/2025,1900408076,525,Rise Multi Academy Trust
Derbyshire County Council,1000,Children & Education Services,Children's Services,Other Local Authorities,02/01/2025,1700001407,-1177.84,Chellaston Academy
Derbyshire County Council,1000,Children & Education Services,Children's Services,Home to Sch SN Trnsp,02/01/2025,1900371939,8822.2,F E Khan
Derbyshire County Council,1000,Children & Education Services,Children's Services,Personal Care,02/01/2025,1900412650,520,Tutors and Exams Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Input VAT,02/01/2025,1900412664,3639.33,Greater Manchester Independent Scho
Derbyshire County Council,1000,Highways & Transport Services,Place,Input VAT,02/01/2025,5100061758,515.39,J C Balls And Sons LTD
Derbyshire County Council,1000,Children & Education Services,Children's Services,Special Need Schools & Colleges,02/01/2025,1900412662,952,Jens Xplorers Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Other Local Authorities,02/01/2025,1900408074,11609.34,West Park School
Derbyshire County Council,1000,Children & Education Services,Children's Services,Other Local Authorities,02/01/2025,1900408080,10913.62,Forest Way School
Derbyshire County Council,1000,Non Distributed Costs,Place,Contractors,02/01/2025,1900373279,520.81,Sheffield Tachograph & Taillift
Derbyshire County Council,1000,Non Distributed Costs,Corporate Services and Transformation,Goods Received/Invoice Recd A/c,02/01/2025,5100060366,1419,Concertus Derbyshire Limited
Derbyshire County Council,1000,Non Distributed Costs,Corporate Services and Transformation,Goods Received/Invoice Recd A/c,02/01/2025,5100059485,524.98,Concertus Derbyshire Limited
Derbyshire County Council,1000,Non Distributed Costs,Corporate Services and Transformation,Goods Received/Invoice Recd A/c,02/01/2025,5100060372,2505.35,Concertus Derbyshire Limited
Derbyshire County Council,1000,Non Distributed Costs,Corporate Services and Transformation,Goods Received/Invoice Recd A/c,02/01/2025,5100060374,528.91,Concertus Derbyshire Limited
Derbyshire County Council,1000,Non Distributed Costs,Corporate Services and Transformation,Goods Received/Invoice Recd A/c,02/01/2025,5100060375,2604,Concertus Derbyshire Limited
Derbyshire County Council,1000,Children & Education Services,Children's Services,Assistance to Families,02/01/2025,1900374940,1500,Operation Orphan
Derbyshire County Council,1000,Children & Education Services,Children's Services,Other Local Authorities,02/01/2025,1900408081,10266.61,Forest Way School
Derbyshire County Council,1000,Children & Education Services,Children's Services,Other Local Authorities,02/01/2025,1900408078,7680.94,Forest Way School
Derbyshire County Council,1000,Highways & Transport Services,Place,Goods Received/Invoice Recd A/c,02/01/2025,5100057801,1050,Whitworks Adventures in Theatre
Derbyshire County Council,1000,Capital,Capital,Goods Received/Invoice Recd A/c,02/01/2025,5100058242,38269,Adam Suffolk Flat Roofing Ltd
Derbyshire County Council,1000,Highways & Transport Services,Place,Goods Received/Invoice Recd A/c,02/01/2025,5100058982,700,National World Publishing Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Goods Received/Invoice Recd A/c,02/01/2025,5100060392,4189.4,Concertus Derbyshire Limited
Derbyshire County Council,1000,Children & Education Services,Children's Services,Rents General,02/01/2025,1900412681,2000,Ritz Properties
Derbyshire County Council,1000,Highways & Transport Services,Place,Goods Received/Invoice Recd A/c,02/01/2025,5100062261,1107.6,Victoria Frost
Derbyshire County Council,1000,Non Distributed Costs,Corporate Services and Transformation,Goods Received/Invoice Recd A/c,02/01/2025,5100060399,501.07,Concertus Derbyshire Limited
Derbyshire County Council,1000,Capital,Capital,Goods Received/Invoice Recd A/c,02/01/2025,5100060390,1358.69,Concertus Derbyshire Limited
Derbyshire County Council,1000,Capital,Capital,Goods Received/Invoice Recd A/c,02/01/2025,5100060368,507.69,Concertus Derbyshire Limited
Derbyshire County Council,1000,Highways & Transport Services,Place,Input VAT,02/01/2025,5100056602,980.75,SWARCO UK & Ireland Ltd
Derbyshire County Council,1000,Capital,Capital,Goods Received/Invoice Recd A/c,02/01/2025,5100060388,1154.21,Concertus Derbyshire Limited
Derbyshire County Council,1000,Capital,Capital,Goods Received/Invoice Recd A/c,02/01/2025,5100060394,1223.6,Concertus Derbyshire Limited
Derbyshire County Council,1000,Capital,Capital,Goods Received/Invoice Recd A/c,02/01/2025,5100060378,3429.88,Concertus Derbyshire Limited
Derbyshire County Council,1000,Children & Education Services,Children's Services,Other Local Authorities,02/01/2025,1900408075,2126.66,City of Derby Academy
Derbyshire County Council,1000,Children & Education Services,Children's Services,Other Local Authorities,02/01/2025,1900408082,2344.98,Forest Way School
Derbyshire County Council,1000,Children & Education Services,Children's Services,Goods Received/Invoice Recd A/c,02/01/2025,5100060393,3844.86,Concertus Derbyshire Limited
Derbyshire County Council,1000,Children & Education Services,Children's Services,Input VAT,02/01/2025,5100062741,665.03,Veolia ES UK Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Goods Received/Invoice Recd A/c,02/01/2025,5100060391,995.31,Concertus Derbyshire Limited
Derbyshire County Council,1000,Highways & Transport Services,Place,Input VAT,02/01/2025,5100056137,740,Wheelplant Ltd
Derbyshire County Council,1000,Highways & Transport Services,Place,Input VAT,02/01/2025,5100056601,4634.72,SWARCO UK & Ireland Ltd
Derbyshire County Council,1000,Highways & Transport Services,Place,Input VAT,02/01/2025,5100058810,672.08,Wheelplant Ltd
Derbyshire County Council,1000,Highways & Transport Services,Place,Input VAT,02/01/2025,5100062654,763,Peter Byard Plant Hire Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Home to Sch Transprt,02/01/2025,1900373990,2034.58,R Khan
Derbyshire County Council,1000,Highways & Transport Services,Place,Grants,02/01/2025,1900412669,5000,REDACTED PERSONAL DATA
Derbyshire County Council,1000,Non Distributed Costs,Corporate Services and Transformation,Goods Received/Invoice Recd A/c,02/01/2025,5100062093,33090.89,British Telecommunications
Derbyshire County Council,1000,Non Distributed Costs,Corporate Services and Transformation,Grounds Maintenance,02/01/2025,5100062473,700,Precision Tree Care
Derbyshire County Council,1000,Highways & Transport Services,Place,Input VAT,02/01/2025,5100062747,6000,AECOM Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Home to Sch Transprt,02/01/2025,1900408390,1567.54,Little Transport Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Home to Sch Transprt,02/01/2025,1900373988,2034.58,R Khan
Derbyshire County Council,1000,Children & Education Services,Children's Services,Free School Transport EI Act,02/01/2025,1900408390,1741.71,Little Transport Ltd
Derbyshire County Council,1000,Children & Education Services,Children's Services,Contributions,02/01/2025,1900408390,-955.2,Little Transport Ltd
Derbyshire County Council,1000,Highways & Transport Services,Place,Input VAT,02/01/2025,5100056833,804.56,Wheelplant Ltd
Derbyshire County Council,1000,Highways & Transport Services,Place,Input VAT,02/01/2025,5100057718,1540.12,Matchtech Group UK Ltd
Derbyshire County Council,1000,Highways & Transport Services,Place,Revenue Support,02/01/2025,1900372494,9240.51,Connex Community Support
Derbyshire County Council,1000,Highways & Transport Services,Place,Input VAT,02/01/2025,5100061094,939.73,Via East Midlands Ltd
Derbyshire County Council,1000,Highways & Transport Services,Place,Electricity,02/01/2025,1900393084,2716.45,Electricity North West Limited
Derbyshire County Council,1000,Highways & Transport Services,Place,Input VAT,02/01/2025,1900393084,543.29,Electricity North West Limited
Derbyshire County Council,1000,Highways & Transport Services,Place,Input VAT,02/01/2025,5100057768,1509.67,Matchtech Group UK Ltd
Derbyshire County Council,1000,Highways & Transport Services,Place,Grants,02/01/2025,1900412677,1301.88,REDACTED PERSONAL DATA
Derbyshire County Council,1000,Highways & Transport Services,Place,Grants,02/01/2025,1900412671,3672,REDACTED PERSONAL DATA
